date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,emergency_kwh,spill_kwh,planned_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend
2025-09-17,259,5759.2129328852,6271.0802814385,42077.8135981138,42043.1047043638,34.7088937500,7.6291666667,3582.6880699554,68139.9828212174,21811.1837064772,17206.3781885485,1,1,1,41866.6398797606,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-18,260,6271.0802814385,6180.8548020181,43194.7379146892,43177.5532362892,17.1846784000,2.4634000000,6742.6426488311,69403.0305142658,19936.8583170865,16230.0581683185,1,1,1,43231.9609374768,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-19,261,6180.8548020181,7666.2700934953,20044.8772090591,20044.8772090591,0.0000000000,0.0000000000,14938.6381528864,35508.9033569425,16484.4164476842,12015.5035602947,0,0,0,19432.0608782530,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-20,262,7666.2700934953,7563.0105964687,19749.2909611209,19749.2909611209,0.0000000000,0.0000000000,16008.5437134598,34701.6256279369,16529.3775182511,13481.7293371073,0,0,0,19791.8912402831,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-21,263,7563.0105964687,7192.5548176022,46031.3323283994,46031.3323283994,0.0000000000,0.0000000000,11742.8511630450,72914.6792919335,16935.5307712373,14051.1901256821,0,0,0,46184.1659180585,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-22,264,7192.5548176022,7004.7456727200,44793.8437001362,44720.3218601362,73.5218400000,10.9066666667,7214.2553248825,71228.1487733507,18841.0971694497,15430.3169376482,1,1,1,44871.3254062415,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-23,265,7004.7456727200,7445.8530597717,46127.7958717527,46127.7958717527,0.0000000000,0.0000000000,6926.6715251188,73348.7999136409,20571.1376675905,16265.6248624017,0,0,0,45945.8145686279,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-24,266,7445.8530597717,7331.4517664509,45609.9096566514,45609.9096566514,0.0000000000,0.0000000000,7712.4529367036,72382.8578713612,19527.0578876124,15919.8780529548,0,0,0,45657.1065457736,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-25,267,7331.4517664509,7178.1033798760,45226.4748231935,45122.9773915268,103.4974316667,15.3716666667,7598.8439417473,71355.3770197308,18812.9968029870,15376.5409583369,1,1,1,45289.7395520104,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-26,268,7178.1033798760,7574.0971303000,20229.7835811483,20229.7835811483,0.0000000000,0.0000000000,14508.4937447181,35606.4659684124,16038.6018332250,12634.8731095306,0,0,0,20066.4141594456,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-27,269,7574.0971303000,6990.2120793868,20074.3755659132,20074.3755659132,0.0000000000,0.0000000000,14705.8087352323,35073.8518974631,16274.9339897510,13708.1930775202,0,0,0,20315.2605874733,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-28,270,6990.2120793868,7176.5006807703,46385.2191831570,46385.2191831570,0.0000000000,0.0000000000,6075.0126126409,73652.9832356101,20645.6932371441,16555.3517808416,0,0,0,46308.3647857195,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-29,271,7176.5006807703,6916.4123383684,45479.5795534945,45344.8432968278,134.7362566667,26.0150166667,5965.6495771751,72304.3632243650,20204.8240632535,16599.9869993970,2,1,2,45586.8804440876,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-09-30,272,6916.4123383684,7106.1126799247,46407.0251995270,46222.7635403761,184.2616591509,27.2717618813,3630.6327855365,73262.4703026076,21401.0747625529,17164.1402502672,1,1,1,46328.7632697271,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,none,21,0.0000000000
2025-10-01,273,7106.1126799247,8562.7203820182,46584.9246172094,46584.9246172094,0.0000000000,0.0000000000,19753.9650382807,74142.8413349659,17981.0938498306,13253.7390864787,0,0,0,45983.9930174458,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-02,274,8562.7203820182,8712.8806332922,43307.9064332179,43307.9064332179,0.0000000000,0.0000000000,13025.1088984257,68412.4145891380,18533.5702521002,14877.0476780545,0,0,0,43245.9569873312,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-03,275,8712.8806332922,8432.1720057221,17884.4438213277,17884.4438213277,0.0000000000,0.0000000000,21606.7771912238,32215.8940646396,16024.2154643625,13232.2522909467,0,0,0,18000.2517251241,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-04,276,8432.1720057221,8229.0826737965,18233.1629331331,18233.1629331331,0.0000000000,0.0000000000,16655.7199785351,32725.3058303141,16612.5464062043,13638.9429877586,0,0,0,18316.9485652931,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-05,277,8229.0826737965,7596.2100188582,40392.4266907328,40392.4266907328,0.0000000000,0.0000000000,7022.3848529604,64715.5679290084,18562.1442043466,15604.9221949652,0,0,0,40653.5218204867,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-06,278,7596.2100188582,6929.5387509329,38663.8862121023,38663.8862121023,0.0000000000,0.0000000000,1415.6687642245,62336.2149145940,19933.9002184332,16746.4633180636,0,0,0,38938.9251474141,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-07,279,6929.5387509329,7412.1515517713,41507.9119912183,41507.9119912183,0.0000000000,0.0000000000,4818.8646591104,66952.4264255156,20671.8276086878,16309.8288422826,0,0,0,41308.8073990502,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-08,280,7412.1515517713,6195.2137672020,40953.2786330227,38716.4152207766,2236.8634122462,329.4271027737,5147.0744202047,63817.0213221590,19032.2228640717,16511.3445260104,4,1,2,41455.3330768122,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-09,281,6195.2137672020,6236.8726171280,39760.6201742653,39704.8177947364,55.8023795289,11.9543342393,5628.1597696008,65327.0916843036,20596.9031614493,16645.9985958405,2,1,1,39743.4335842903,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-10,282,6236.8726171280,6493.1304603280,16745.9270533994,16745.9270533994,0.0000000000,0.0000000000,19626.4008133815,32198.1394484898,15776.2929450618,12548.1652266202,0,0,0,16640.2064565325,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-11,283,6493.1304603280,6602.7477830044,17228.4690147906,17228.4690147906,0.0000000000,0.0000000000,15684.3442137751,32891.0912726352,15798.8309743051,12698.3974987783,0,0,0,17183.2457793353,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-12,284,6602.7477830044,6038.3578458681,40099.1547187282,40001.1189109948,98.0358077333,20.9299333333,3543.6387376250,65310.4053599047,19898.3763984332,16625.6358261535,1,1,1,40331.9969227934,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-13,285,6038.3578458681,6172.6913788752,40971.5628916338,39162.8795361299,1808.6833555039,286.2312830773,3495.3141003313,64440.0067417907,21487.5181306864,17283.9895061496,4,1,3,40916.1428462944,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-14,286,6172.6913788752,6422.2179989102,41134.0710553516,41134.0710553516,0.0000000000,0.0000000000,1775.3388757440,66885.4934682435,21640.7965849199,17304.4712757536,0,0,0,41031.1274619972,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-15,287,6422.2179989102,6132.8896043781,41315.8715036437,40943.6020914174,372.2694122263,80.8136100952,1446.4727619163,66969.4114916489,20758.5486574033,17074.8199675755,4,1,1,41435.2355401878,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-16,288,6132.8896043781,6241.1141009202,49324.3002926132,42384.6770472346,6939.6232453786,1018.7355244678,3100.7033029124,69215.7166576610,21420.3888543608,17253.1129251445,3,1,1,49279.6516753176,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-17,289,6241.1141009202,6531.7212695274,17852.0278586120,17852.0278586120,0.0000000000,0.0000000000,14497.8744193739,33752.8940778074,15733.0204737914,12482.2001320246,0,0,0,17732.1362567188,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-18,290,6531.7212695274,7061.4009922195,17747.0460681383,17747.0460681383,0.0000000000,0.0000000000,13738.8980546144,33266.1567447754,15652.3877530070,12201.7223295128,0,0,0,17528.5237558766,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-19,291,7061.4009922195,6244.3511829334,44476.8945431542,42971.4999820728,1505.3945610814,216.1284829380,2843.3649858687,69835.7771384376,21358.7522659532,18035.9341637797,2,1,1,44813.9729811408,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-20,292,6244.3511829334,6337.3954753828,46790.5719958810,44110.0525392465,2680.5194566345,555.1567685441,3320.5610608246,71438.4163695278,21834.1570914540,17601.9273808733,6,1,1,46752.1860561182,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-21,293,6337.3954753828,6846.7579877981,45852.6940353895,45852.6940353895,0.0000000000,0.0000000000,2869.8926842786,74004.0723290077,22174.5896502910,17502.9913555619,0,0,0,45642.5537011009,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-22,294,6846.7579877981,6417.4450551816,47225.6870268032,45404.6195693209,1821.0674574824,375.9081458553,4686.2495742413,73570.0612089801,21532.6564207840,17827.8333401899,5,1,1,47402.8024622260,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
2025-10-23,295,6417.4450551816,6710.1139804804,46665.3605664604,46665.3605664604,0.0000000000,0.0000000000,7341.8979618763,74976.3158761657,21007.9939378270,16753.0730568709,0,0,0,46544.6183753899,0.4125555556,6000.0000000000,0.8000000000,0.5000000000,14,0,season,28,0.5000000000
