date,balance_max_abs,soc_equation_max_abs,soc_min,soc_max,charge_max,discharge_max,negative_min,simultaneous_max,pass,lp_eq_residual,lp_dual_gap_relative,lp_stationarity
2025-07-13,0.0000000000,0.0000000000,1561.0526240778,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-14,0.0000000000,0.0000000000,1357.6467964370,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-15,0.0000000000,0.0000000000,2024.9628879630,10800.0000000000,833.3333333333,807.7393838333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-16,0.0000000000,0.0000000000,1756.0756864815,10800.0000000000,833.3333333333,833.3333333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-17,0.0000000000,0.0000000000,1926.4797768519,10800.0000000000,833.3333333333,815.8924738333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-18,0.0000000000,0.0000000000,1862.3230585185,10800.0000000000,833.3333333333,742.0443500000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-19,0.0000000000,0.0000000000,1662.9398720370,10800.0000000000,833.3333333333,741.6691333333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-20,0.0000000000,0.0000000000,1862.1818064815,10800.0000000000,833.3333333333,817.2384468333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-21,0.0000000000,0.0000000000,1789.7708596296,10800.0000000000,833.3333333333,817.8994741667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-22,0.0000000000,0.0000000000,1921.8569451852,10800.0000000000,833.3333333333,830.7215075000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-23,0.0000000000,0.0000000000,1881.7276131481,10800.0000000000,833.3333333333,833.0790208333,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-24,0.0000000000,0.0000000000,2048.0850448148,10800.0000000000,833.3333333333,785.5989806667,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
2025-07-25,0.0000000000,0.0000000000,1911.7349575926,10800.0000000000,833.3333333333,714.6207500000,0.0000000000,0.0000000000,True,0.0000000000,0.0000000000,0.0000000000
