date,day,initial_soc,terminal_soc,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_day,events,adjusted_cost,inventory_value_rate,reference_terminal_target,alpha,rho,window,smooth,features,k,blend,solve_seconds
2025-04-18,107,6665.6545125463,6692.9761685164,13740.7133712403,13740.7133712403,0.0000000000,27444.3762277798,0.0000000000,18039.4378309835,15927.5353846831,12876.7141712202,0,0,0,13729.4416702828,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0412894420
2025-04-19,108,6692.9761685164,6882.8685364370,14195.6493989783,14195.6493989783,0.0000000000,28206.3872233352,0.0000000000,18254.6491782181,15769.2403367819,12602.1815416648,0,0,0,14117.3082476351,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0423025280
2025-04-20,109,6882.8685364370,6886.5482450500,36479.0771886268,36479.0771886268,0.0000000000,61423.6815178586,0.0000000000,5728.2569268689,19654.5682626564,15916.8885550000,0,0,0,36477.5591043957,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0509504500
2025-04-21,110,6886.5482450500,6146.0253384537,35658.1647384168,35658.1647384168,0.0000000000,60272.1955662734,0.0000000000,9009.7422745779,17957.9659173621,15212.4230090000,0,0,0,35963.6715775492,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0529736380
2025-04-22,111,6146.0253384537,6433.2182087704,35989.0750123164,35989.0750123164,0.0000000000,60722.4506290905,0.0000000000,4631.2990038683,19367.0985540556,15428.8762455000,0,0,0,35870.5919981513,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0525163030
2025-04-23,112,6433.2182087704,6483.8218435037,35136.0036130034,35136.0036130034,0.0000000000,59435.5966298004,0.0000000000,4452.8004826358,18617.5587328313,15034.6793023333,0,0,0,35115.1268023628,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0513019730
2025-04-24,113,6483.8218435037,6585.8394625463,35421.9311157734,35421.9311157734,0.0000000000,59721.2029317284,0.0000000000,9064.1878714259,18289.9605429691,14723.0521826667,0,0,0,35379.8431802729,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0498490600
2025-04-25,114,6585.8394625463,6366.7350785407,13068.8242855676,13068.8242855676,0.0000000000,26554.3999067083,0.0000000000,21799.6614247942,15534.6040922058,12780.2232602917,0,0,0,13159.2170164356,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0410427560
2025-04-26,115,6366.7350785407,6654.9588877907,13606.4189341003,13606.4189341003,0.0000000000,27510.3786174800,0.0000000000,24249.7770908086,15426.3498158580,12235.9419225200,0,0,0,13487.5106003508,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0401890490
2025-04-27,116,6654.9588877907,6321.5149783111,35651.9435101233,34067.0641002521,1584.8794098712,57463.4631680731,227.1902823783,5727.3454469732,19420.7175719815,16030.8807518367,1,1,1,35789.5076474453,0.4125555556,6000.0000000000,,0.5000000000,21,,Ridge residual SAA,21,,0.0491219110
