strategy,period,days,total_cost,planned_cost,emergency_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,emergency_slot_frequency,emergency_day_frequency,events,daily_cvar90,daily_cvar95,worst_day,initial_soc,terminal_soc,inventory_value_rate,adjusted_cost,sensitivity_target,inventory_valuation
ridge_h1_replan,full334,334,13667441.2120527849,13310756.9571952373,356684.2548575480,21793083.2393817417,57851.6962715379,2684082.7459570477,6461051.3397933049,5233388.6450637374,532,0.0110612109,0.3532934132,193,63156.1185016869,65682.5900694660,83280.6290271474,6000.0000000000,6069.9335209333,0.4125555556,13667412.3605902046,6000.0000000000,replacement
ridge_h1_replan,full334,334,13667441.2120527849,13310756.9571952373,356684.2548575480,21793083.2393817417,57851.6962715379,2684082.7459570477,6461051.3397933049,5233388.6450637374,532,0.0110612109,0.3532934132,193,63156.1185016869,65682.5900694660,83280.6290271474,6000.0000000000,6069.9335209333,1.2556800000,13667353.3979292195,6000.0000000000,avoidance_upper
baseline,full334,334,13836356.1791578457,13231937.3951817304,604418.7839761162,21654367.9083212949,100357.7576756357,2564992.0981125711,6575655.7548467182,5325111.6819290239,856,0.0177977379,0.4071856287,240,66442.5301939777,70595.3486820760,99430.1846206164,6000.0000000000,7299.4216631310,0.0000000000,13836356.1791578457,7200.0000000000,zero
baseline,full334,334,13836356.1791578457,13231937.3951817304,604418.7839761162,21654367.9083212949,100357.7576756357,2564992.0981125711,6575655.7548467182,5325111.6819290239,856,0.0177977379,0.4071856287,240,66442.5301939777,70595.3486820760,99430.1846206164,6000.0000000000,7299.4216631310,0.4125555556,13835820.0955317114,7200.0000000000,replacement
baseline,full334,334,13836356.1791578457,13231937.3951817304,604418.7839761162,21654367.9083212949,100357.7576756357,2564992.0981125711,6575655.7548467182,5325111.6819290239,856,0.0177977379,0.4071856287,240,66442.5301939777,70595.3486820760,99430.1846206164,6000.0000000000,7299.4216631310,1.2556800000,13834724.5213638861,7200.0000000000,avoidance_upper
fused,full334,334,13829518.9508132860,13243698.5031588934,585820.4476543928,21666945.9965172745,97277.0803864128,2575491.9749608897,6570274.8431057632,5320733.2361296285,837,0.0174026946,0.3982035928,234,66306.7097609131,70351.9500412609,99430.1846206164,6000.0000000000,7321.5408733772,0.0000000000,13829518.9508132860,7200.0000000000,zero
fused,full334,334,13829518.9508132860,13243698.5031588934,585820.4476543928,21666945.9965172745,97277.0803864128,2575491.9749608897,6570274.8431057632,5320733.2361296285,837,0.0174026946,0.3982035928,234,66306.7097609131,70351.9500412609,99430.1846206164,6000.0000000000,7321.5408733772,0.4125555556,13828973.7417840809,7200.0000000000,replacement
fused,full334,334,13829518.9508132860,13243698.5031588934,585820.4476543928,21666945.9965172745,97277.0803864128,2575491.9749608897,6570274.8431057632,5320733.2361296285,837,0.0174026946,0.3982035928,234,66306.7097609131,70351.9500412609,99430.1846206164,6000.0000000000,7321.5408733772,1.2556800000,13827859.5183694046,7200.0000000000,avoidance_upper
ridge_h1_replan,full334,334,13681643.3710027076,13324761.5038689990,356881.8671337102,21829860.5012673438,57889.3130843316,2704590.7688354603,6541287.7769970037,5297318.2264474537,533,0.0110820027,0.3532934132,193,63176.4316940258,65705.4271853645,83420.2486291815,6000.0000000000,7249.8588001333,0.0000000000,13681643.3710027076,7200.0000000000,zero
ridge_h1_replan,full334,334,13681643.3710027076,13324761.5038689990,356881.8671337102,21829860.5012673438,57889.3130843316,2704590.7688354603,6541287.7769970037,5297318.2264474537,533,0.0110820027,0.3532934132,193,63176.4316940258,65705.4271853645,83420.2486291815,6000.0000000000,7249.8588001333,0.4125555556,13681127.7348110527,7200.0000000000,replacement
ridge_h1_replan,full334,334,13681643.3710027076,13324761.5038689990,356881.8671337102,21829860.5012673438,57889.3130843316,2704590.7688354603,6541287.7769970037,5297318.2264474537,533,0.0110820027,0.3532934132,193,63176.4316940258,65705.4271853645,83420.2486291815,6000.0000000000,7249.8588001333,1.2556800000,13680073.9483045563,7200.0000000000,avoidance_upper
baseline,full334,334,13978475.3484432604,13369874.8500278965,608600.4984153638,21950998.6148311943,101121.8868479750,2814786.2723060255,6809603.8652972374,5511459.1308907624,862,0.0179224884,0.4101796407,241,66733.5330730669,70924.9804093534,100071.2104802482,6000.0000000000,10800.0000000000,0.0000000000,13978475.3484432604,10800.0000000000,zero
baseline,full334,334,13978475.3484432604,13369874.8500278965,608600.4984153638,21950998.6148311943,101121.8868479750,2814786.2723060255,6809603.8652972374,5511459.1308907624,862,0.0179224884,0.4101796407,241,66733.5330730669,70924.9804093534,100071.2104802482,6000.0000000000,10800.0000000000,0.4125555556,13976495.0817765929,10800.0000000000,replacement
baseline,full334,334,13978475.3484432604,13369874.8500278965,608600.4984153638,21950998.6148311943,101121.8868479750,2814786.2723060255,6809603.8652972374,5511459.1308907624,862,0.0179224884,0.4101796407,241,66733.5330730669,70924.9804093534,100071.2104802482,6000.0000000000,10800.0000000000,1.2556800000,13972448.0844432600,10800.0000000000,avoidance_upper
fused,full334,334,13973682.1862536855,13383197.8597844765,590484.3264692082,21967164.4032853320,98131.5233419548,2829127.6161922300,6803467.4498336241,5506488.6343652364,842,0.0175066534,0.4011976048,235,66605.9189446275,70690.5792730496,100071.2104802482,6000.0000000000,10800.0000000000,0.0000000000,13973682.1862536855,10800.0000000000,zero
