date,day_index,issue,perturbation,max_plan_diff_kwh,passed
2025-12-02,335,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-02,335,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-02,335,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-04,337,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-04,337,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-04,337,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-04,337,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-09,342,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-09,342,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-09,342,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-09,342,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-16,349,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-16,349,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-16,349,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-16,349,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-23,356,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-23,356,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-23,356,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-23,356,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-31,364,0,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-31,364,6,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-31,364,12,future_actuals_and_unreleased_forecasts,0.0000000000,True
2025-12-31,364,18,future_actuals_and_unreleased_forecasts,0.0000000000,True
