date,total_cost_B0,inventory_adjusted_cost_B0,emergency_cost_B0,emergency_kwh_B0,soc_start_B0,soc_end_B0,soc_min_B0,mean_price,total_cost_H3,inventory_adjusted_cost_H3,emergency_cost_H3,emergency_kwh_H3,soc_start_H3,soc_end_H3,soc_min_H3,adjusted_diff_H3_minus_B0,B0_top17,H3_top17
2025-06-18,55013.9590160000,55543.4758070000,664.6088470000,98.0784320000,2914.4201650000,1630.9159580000,1200.0000000000,0.8200500000,54071.5416770000,54800.3643390000,598.8111160000,89.1180450000,3484.4668430000,1717.8619510000,1200.0000000000,-743.1114680000,False,False
2025-06-19,55714.4414790000,55180.8396560000,443.2599000000,64.6025910000,1630.9159580000,2924.3219390000,1571.3713140000,0.8079100000,52134.4759820000,51709.6742780000,155.9442530000,22.6010390000,1717.8619510000,2747.5455860000,1402.8975640000,-3471.1653780000,False,False
2025-06-20,17516.0473800000,17712.0051890000,0.0000000000,0.0000000000,2924.3219390000,2449.3366760000,2123.4697510000,0.6213070000,16837.0559840000,17163.4426290000,0.0000000000,0.0000000000,2747.5455860000,1956.4117860000,1690.9688410000,-548.5625600000,False,False
2025-06-21,17219.8619670000,17255.1530250000,0.0000000000,0.0000000000,2449.3366760000,2363.7941170000,1531.4415530000,0.6095260000,16513.3569390000,16399.9062790000,0.0000000000,0.0000000000,1956.4117860000,2231.4066530000,1331.4412330000,-855.2467460000,False,False
2025-06-22,52847.4657730000,52579.2673670000,96.2771350000,13.8170400000,2363.7941170000,3013.8845170000,1537.5834680000,0.8074920000,50195.6239870000,49941.8001410000,11.5162050000,1.6527270000,2231.4066530000,2846.6543280000,1627.7417610000,-2637.4672260000,False,False
2025-06-23,49475.9086140000,49972.8101080000,304.5930310000,43.8682220000,3013.8845170000,1809.4370500000,1327.2471750000,0.8048720000,48812.1454690000,49187.5326230000,0.0000000000,0.0000000000,2846.6543280000,1936.7474090000,1346.0983770000,-785.2774850000,False,False
2025-06-24,60210.3955530000,59611.9997340000,0.0000000000,0.0000000000,1809.4370500000,3259.8982330000,1518.8509090000,0.8405350000,59051.9123340000,58481.2067550000,0.0000000000,0.0000000000,1936.7474090000,3320.0897770000,1454.2617050000,-1130.7929790000,False,False
2025-06-25,53432.3905860000,54014.1208060000,210.8528280000,30.2261390000,3259.8982330000,1849.8330610000,1234.8220030000,0.8163470000,50744.3111560000,51241.4767600000,0.0000000000,0.0000000000,3320.0897770000,2115.0021280000,1359.1595000000,-2772.6440460000,False,False
2025-06-26,51819.7930720000,51279.2157990000,83.5487710000,11.9295740000,1849.8330610000,3160.1469460000,1809.6392570000,0.8059740000,49530.6569440000,49175.2563220000,0.0000000000,0.0000000000,2115.0021280000,2976.4633730000,1612.3036440000,-2103.9594770000,False,False
2025-06-27,17570.8876670000,17579.5347120000,0.0000000000,0.0000000000,3160.1469460000,3139.1872360000,2096.3095120000,0.6051200000,17122.6868640000,17212.1149030000,0.0000000000,0.0000000000,2976.4633730000,2759.6973200000,1893.5910800000,-367.4198090000,False,False
2025-06-28,17081.3455470000,17522.2167030000,0.0000000000,0.0000000000,3139.1872360000,2070.5525980000,1409.8054720000,0.6229890000,16637.9498180000,16876.8235900000,0.0000000000,0.0000000000,2759.6973200000,2180.6873690000,1650.3221180000,-645.3931130000,False,False
2025-06-29,57085.8689430000,57029.3616120000,1862.6627290000,272.3150360000,2070.5525980000,2207.5216190000,1200.0000000000,0.8118270000,54690.8516530000,54652.3680440000,1013.2504330000,147.5168750000,2180.6873690000,2273.9684030000,1200.0000000000,-2376.9935680000,False,False
2025-06-30,53181.2319430000,53309.5110160000,989.4297010000,140.3151700000,2207.5216190000,1896.5839250000,1468.5722930000,0.8101880000,50788.1357810000,50927.6808560000,247.9724500000,34.6880510000,2273.9684030000,1935.7228670000,1415.7638740000,-2381.8301600000,False,False
2025-07-01,69208.6727970000,69496.0523650000,328.9559210000,99.9443650000,1896.5839250000,1200.0000000000,1200.0000000000,0.8907620000,71994.9418180000,72298.4683750000,1262.1144060000,395.4062740000,1935.7228670000,1200.0000000000,1200.0000000000,2802.4160100000,False,True
2025-07-02,67918.4823980000,67918.4823980000,7677.4267960000,1944.9512300000,1200.0000000000,1200.0000000000,1200.0000000000,0.8753220000,70440.5299840000,70440.5299840000,8918.9722820000,2055.2360790000,1200.0000000000,1200.0000000000,1200.0000000000,2522.0475860000,False,False
2025-07-03,73349.4640080000,73042.0305540000,4971.4880330000,1456.7863580000,1200.0000000000,1945.1928600000,1200.0000000000,0.9014360000,74374.7254240000,74106.3105780000,4281.7681300000,1366.4188970000,1200.0000000000,1850.6150320000,1200.0000000000,1064.2800240000,True,True
2025-07-04,41849.2822800000,42156.7157350000,20576.1947460000,5230.6283820000,1945.1928600000,1200.0000000000,1200.0000000000,0.6903080000,51371.4307100000,51639.8455560000,31824.1113090000,6649.9649000000,1850.6150320000,1200.0000000000,1200.0000000000,9483.1298210000,False,False
2025-07-05,30393.3372430000,30393.3372430000,4297.0354380000,1904.9228510000,1200.0000000000,1200.0000000000,1200.0000000000,0.6843190000,30962.3304950000,30962.3304950000,4460.1001060000,1811.0207250000,1200.0000000000,1200.0000000000,1200.0000000000,568.9932520000,False,False
