month,weekday,soc,relative_future_cost
3,6,9750.0,-1776.5500416666982
3,6,9900.0,-1847.3000433333646
3,6,10050.0,-1918.05004500003
3,6,10200.0,-1979.9333800000304
3,6,10350.0,-2041.81671500003
3,6,10500.0,-2103.7000500000304
3,6,10650.0,-2165.58338500003
3,6,10800.0,-2227.4667200000304
3,5,1200.0,2292.3500533333245
3,5,1350.0,2220.500051666658
3,5,1500.0,2148.650049999991
3,5,1650.0,2076.8000483333244
3,5,1800.0,2004.9500466666582
3,5,1950.0,1933.1000449999915
3,5,2100.0,1861.2500433333248
3,5,2250.0,1789.4000416666581
3,5,2400.0,1717.5500399999914
3,5,2550.0,1645.7000383333288
3,5,2700.0,1574.0000366666623
3,5,2850.0,1502.3000349999957
3,5,3000.0,1430.6000333333288
3,5,3150.0,1358.9000316666622
3,5,3300.0,1287.200030000001
3,5,3450.0,1215.5166950000012
3,5,3600.0,1143.8333600000012
3,5,3750.0,1072.1500250000013
3,5,3900.0,1000.4666900000011
3,5,4050.0,928.7833550000012
3,5,4200.0,857.2333533333322
3,5,4350.0,785.6833516666652
3,5,4500.0,714.1333499999987
3,5,4650.0,642.5833483333322
3,5,4800.0,571.0333466666657
3,5,4950.0,499.6166783333324
3,5,5100.0,428.2000099999991
3,5,5250.0,356.7833416666658
3,5,5400.0,285.3666733333325
3,5,5550.0,213.95000499999924
3,5,5700.0,142.63333666666495
3,5,5850.0,71.31666833333156
3,5,6000.0,-1.3642420526593924e-12
3,5,6150.0,-71.31666833333475
3,5,6300.0,-142.6333366666663
3,5,6450.0,-213.8333383333329
3,5,6600.0,-285.0333399999995
3,5,6750.0,-356.2333416666661
3,5,6900.0,-427.4333433333327
3,5,7050.0,-498.63334499999155
3,5,7200.0,-569.8166799999917
3,5,7350.0,-641.0000149999914
3,5,7500.0,-712.1833499999916
3,5,7650.0,-783.3666849999918
3,5,7800.0,-854.5500199999915
3,5,7950.0,-925.7000216666584
3,5,8100.0,-996.8500233333252
3,5,8250.0,-1068.0000249999916
3,5,8400.0,-1139.1500266666585
3,5,8550.0,-1210.300028333319
3,5,8700.0,-1281.100029999985
3,5,8850.0,-1351.9000316666525
3,5,9000.0,-1422.700033333319
3,5,9150.0,-1493.5000349999855
3,5,9300.0,-1564.300036666652
3,5,9450.0,-1635.050038333321
3,5,9600.0,-1705.8000399999873
3,5,9750.0,-1776.5500416666546
3,5,9900.0,-1847.300043333321
3,5,10050.0,-1918.0500449999863
3,5,10200.0,-1979.9333799999868
3,5,10350.0,-2041.8167149999863
3,5,10500.0,-2103.7000499999867
3,5,10650.0,-2165.5833849999863
3,5,10800.0,-2227.4667199999867
3,4,1200.0,2292.3500533333317
3,4,1350.0,2220.500051666665
3,4,1500.0,2148.6500499999984
3,4,1650.0,2076.8000483333317
3,4,1800.0,2004.9500466666655
3,4,1950.0,1933.1000449999988
3,4,2100.0,1861.250043333332
3,4,2250.0,1789.4000416666654
3,4,2400.0,1717.5500399999987
3,4,2550.0,1645.700038333332
3,4,2700.0,1574.0000366666623
3,4,2850.0,1502.3000349999957
3,4,3000.0,1430.6000333333288
3,4,3150.0,1358.9000316666622
3,4,3300.0,1287.200030000001
3,4,3450.0,1215.5166950000012
3,4,3600.0,1143.8333600000012
3,4,3750.0,1072.1500250000013
3,4,3900.0,1000.4666900000011
3,4,4050.0,928.7833550000023
3,4,4200.0,857.2333533333358
3,4,4350.0,785.6833516666688
3,4,4500.0,714.1333500000023
3,4,4650.0,642.5833483333358
3,4,4800.0,571.0333466666689
3,4,4950.0,499.6166783333324
3,4,5100.0,428.2000099999991
3,4,5250.0,356.7833416666658
3,4,5400.0,285.3666733333325
3,4,5550.0,213.95000499999924
3,4,5700.0,142.63333666666495
3,4,5850.0,71.31666833333156
3,4,6000.0,-1.3642420526593924e-12
3,4,6150.0,-71.31666833333475
3,4,6300.0,-142.6333366666663
3,4,6450.0,-213.8333383333329
3,4,6600.0,-285.0333399999995
3,4,6750.0,-356.2333416666661
3,4,6900.0,-427.4333433333327
3,4,7050.0,-498.6333449999988
