parameter,value,alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
emergency,7.0000000000,0.8071000000,0.9357000000,972321.2004363227,971759.9386837517,0.0000000000,0.0000000000,90827.8640497845,54857.9813314199,868714.9241758179,119327.5881809691,-15721.3119204643,1391077.3368005771,1427047.2195189416,71432.1154265485,73988.3370828989,3376.1975461786
emergency,7.0000000000,0.8571000000,0.6357000000,877319.9332949765,877313.1531152823,3772.6531651378,506.6205072721,1186.1551299481,87153.4818614953,904123.8564268579,1889.2940976161,-32465.8703946354,1448644.3067612373,1362676.9800296901,64499.7460411949,64668.9560354186,2032.1808061058
emergency,7.0000000000,0.8571000000,0.6857000000,878083.5746398767,878031.3696612837,2526.6358763473,337.1908384936,1249.2613836997,81042.7998901329,903354.7270214029,1947.0739294832,-29744.8621873569,1446860.1977251552,1367066.6592187218,64359.5548460862,64892.7639166294,2142.2867016314
emergency,7.0000000000,0.8571000000,0.7357000000,879627.7791456995,879528.3686986966,1475.7016510264,186.4298536804,1592.4027704161,74926.5813062061,902774.0526161485,2377.4462920691,-26999.4214135445,1445513.2378428669,1372179.0593070772,64432.4555972956,65140.0072631112,2256.7087904252
emergency,7.0000000000,0.8571000000,0.7857000000,882883.0928181806,882730.8422054737,924.8493622478,115.9882701884,2901.6579303594,68913.1963461537,902057.2995408071,3971.6980549663,-24070.7541398407,1443850.6234254665,1377839.0850096724,64643.9983792025,65444.8046795016,2384.7889119807
emergency,7.0000000000,0.8571000000,0.8357000000,888951.5061897811,888743.0467292747,617.6236833481,77.6585319315,6503.3770494398,62262.2224509824,900940.0640723871,8332.6094156677,-20938.7909816217,1441258.1904947644,1385499.3450932219,65099.6968133457,65777.5457352849,2521.0344358691
emergency,7.0000000000,0.8571000000,0.8857000000,906399.6320495992,906098.2375224312,145.1503566871,17.8495009391,19171.4299824978,55237.3653091678,898829.0084021840,24702.9628980361,-17277.4896073079,1436356.4414594648,1400290.5061327950,66953.3322806312,68879.9013253880,2746.3012282076
emergency,7.0000000000,0.8571000000,0.9357000000,967487.2674490506,966926.0056964795,0.0000000000,0.0000000000,68221.7785500015,61144.2241306764,893929.3023713197,91279.8745961475,-17721.9095184168,1424967.5986834164,1432045.1531027411,70774.8705138469,72781.8178830015,3376.1975461786
emergency,7.0000000000,0.9071000000,0.6357000000,903935.8588806377,903876.4401107277,3772.6531651378,506.6205072721,184.3720670309,140104.2287968445,955740.5516786209,360.1787578562,-55937.5247209772,1510245.3362960629,1370325.4795662495,67144.9493971803,67313.6838007655,2159.7723256157
emergency,7.0000000000,0.9071000000,0.6857000000,904601.1128257276,904496.2692569192,2526.6358763473,337.1908384936,187.5085211920,133822.3731996573,954992.9342243368,341.8381847636,-53260.2954597200,1508511.1274018756,1374876.2627234105,67012.1790009381,67502.1031073169,2269.8782211413
emergency,7.0000000000,0.9071000000,0.7357000000,905958.3321619270,905812.4198588037,1475.7016510264,186.4298536804,210.2846764112,126876.9847348865,954438.7454117798,330.5855853556,-50286.7004862349,1507225.5618633372,1380558.8618048618,67065.1073850115,67729.3883055401,2369.4253821522
emergency,7.0000000000,0.9071000000,0.7857000000,908651.3702334877,908446.9377682399,1028.4333699255,128.6542937975,429.0157170727,119410.4034556251,953713.0561978375,679.0741180663,-46769.1934523415,1505541.7403174262,1386560.3525788737,67187.1998369588,68008.1886138179,2511.2733377467
emergency,7.0000000000,0.9071000000,0.8357000000,912490.9504495268,912229.8523988046,616.6498537684,77.5387776823,790.4196018170,109167.4024417470,952647.2675275464,1181.7727348477,-41954.7396666357,1503067.7542734114,1394690.7714334812,67401.5871513357,68423.6934783659,2648.6259553790
emergency,7.0000000000,0.9071000000,0.8857000000,920563.9425856849,920218.0162232778,145.1503566871,17.8495009391,2210.1009124160,92981.1733943165,950740.8799913126,3079.9662235019,-33402.0539858166,1498638.9524147753,1407867.8799328748,68078.1466973849,69746.2922987286,2854.2426548582
emergency,7.0000000000,0.9071000000,0.9357000000,959050.2189401879,958483.9712159457,0.0000000000,0.0000000000,25702.7436781809,76852.7590296683,946446.3055224612,36155.3646407322,-23551.4512230055,1488656.0433232342,1437506.0279717464,69905.2287609871,71570.6216581175,3388.2831225434
up,1.2000000000,0.6500000000,0.6100000000,846694.0028876478,846827.5134855693,3627.3945566780,730.9078709517,18821.7850185033,27027.2924266169,833933.1663763418,18073.7282626375,-8940.2863080096,1352878.4087411279,1344672.9013330142,62173.1111911403,62524.8217444027,1692.1277496712
up,1.2000000000,0.6500000000,0.6600000000,849288.7425582369,849366.0700743827,2149.3305371301,411.4160996387,23734.9861545232,25564.8459018608,833102.8582807264,22268.6188343193,-8232.0650939388,1350952.3867146480,1349122.5269673103,62482.5215693069,62877.3828388060,1828.3108188823
up,1.2000000000,0.6500000000,0.7100000000,853831.7186331440,853856.0668640003,1479.6369190572,274.2100081461,29924.7255323628,24655.9394610368,832104.7753935689,27996.6153318232,-7749.3090113052,1348637.1863269014,1353905.9723982275,62875.3197530312,63387.6535268883,1956.7281546234
up,1.2000000000,0.6500000000,0.7600000000,860013.4014004618,859975.9664665670,933.4421145147,164.2221854586,38061.3131617960,24112.6927468165,831154.0476772792,35373.6453116135,-7447.7337029457,1346431.8332387789,1360380.4536537584,63273.5739113528,63998.1016321253,2106.4853543969
