day,generation,best,mean
2025-05-29,104,42970.9141637519,47674.2166156141
2025-05-29,105,42970.9141637519,47391.3294749499
2025-05-29,106,42970.9141637519,47481.5188289395
2025-05-29,107,42970.9141637519,47198.8160801489
2025-05-29,108,42970.9141637519,47367.9366689636
2025-05-29,109,42970.9141637519,47164.0353173454
2025-05-29,110,42970.9141637519,46866.4329252195
2025-05-29,111,42970.9141637519,46691.9376153521
2025-05-29,112,42970.9141637519,46799.6029996970
2025-05-29,113,42970.9141637519,46469.6667858843
2025-05-29,114,42970.9141637519,46254.4714023583
2025-05-29,115,42970.9141637519,46139.0639019054
2025-05-29,116,42970.9141637519,46683.4040456116
2025-05-29,117,42970.9141637519,45999.4163543556
2025-05-29,118,42970.9141637519,46398.4852650431
2025-05-29,119,42970.9141637519,46724.8536638108
2025-07-04,0,71003.4707776313,80484.4008488973
2025-07-04,1,68645.1527175753,77184.9600977662
2025-07-04,2,68594.2088308928,74484.8087076985
2025-07-04,3,66618.5247056527,72706.8398702265
2025-07-04,4,66618.5247056527,71745.0975401046
2025-07-04,5,61283.4711189732,70463.5125956220
2025-07-04,6,61283.4711189732,69035.8549565520
2025-07-04,7,60392.2722523388,67418.2462362240
2025-07-04,8,58129.9696836001,65205.0881750454
2025-07-04,9,58129.9696836001,64165.7857960241
2025-07-04,10,57248.5756637436,62266.2537003121
2025-07-04,11,57248.5756637436,61621.0570111638
2025-07-04,12,55359.9397372642,60584.2692490390
2025-07-04,13,54537.5550672516,59394.3746108979
2025-07-04,14,53088.7622535928,57985.6488002175
2025-07-04,15,51437.8158654880,56250.7245692273
2025-07-04,16,50705.6531499170,55159.3467442497
2025-07-04,17,49548.3790012815,53880.5264291814
2025-07-04,18,49548.3790012815,53315.5216133758
2025-07-04,19,48335.7526655401,52145.5112434125
2025-07-04,20,47222.2373044480,51346.2412160803
2025-07-04,21,47222.2373044480,50784.4505578355
2025-07-04,22,45924.6890859257,49808.8591138111
