month,weekday,soc,relative_future_cost
5,1,2400.0,1717.550000000003
5,1,3600.0,1143.8333333333358
5,1,4800.0,571.0333333333401
5,1,6000.0,0.0
5,1,7200.0,-569.8166666666657
5,1,8400.0,-1139.1499999999942
5,1,9600.0,-1705.7999999999956
5,1,10800.0,-2227.46666666666
5,0,1200.0,2292.350000000013
5,0,2400.0,1717.550000000003
5,0,3600.0,1143.8333333333358
5,0,4800.0,571.0333333333401
5,0,6000.0,0.0
5,0,7200.0,-569.8166666666657
5,0,8400.0,-1139.1499999999942
5,0,9600.0,-1705.7999999999884
5,0,10800.0,-2227.4666666666526
6,6,1200.0,2292.350000000013
6,6,2400.0,1717.550000000003
6,6,3600.0,1143.8333333333358
6,6,4800.0,571.0333333333328
6,6,6000.0,0.0
6,6,7200.0,-569.8166666666657
6,6,8400.0,-1139.1499999999942
6,6,9600.0,-1705.800000000003
6,6,10800.0,-2227.4666666666526
6,5,1200.0,2141.105917287783
6,5,2400.0,1571.757923370089
6,5,3600.0,1004.9319963577473
6,5,4800.0,479.3143334007218
6,5,6000.0,0.0
6,5,7200.0,-474.8415505999983
6,5,8400.0,-948.4991982449974
6,5,9600.0,-1420.6862251233288
6,5,10800.0,-1891.9710085766637
6,4,1200.0,2165.2832962836
6,4,2400.0,1595.8555897774277
6,4,3600.0,1028.3283109008844
6,4,4800.0,484.0767544139926
6,4,6000.0,0.0
6,4,7200.0,-475.46771804499804
6,4,8400.0,-949.5739851633334
6,4,9600.0,-1422.0345643599994
6,4,10800.0,-1893.622019358334
6,3,1200.0,2292.3499999999985
6,3,2400.0,1717.550000000003
6,3,3600.0,1143.8333333333358
6,3,4800.0,571.0333333333328
6,3,6000.0,0.0
6,3,7200.0,-569.8166666666657
6,3,8400.0,-1139.1500000000015
6,3,9600.0,-1705.7999999999956
6,3,10800.0,-2227.466666666667
6,2,1200.0,2292.3499999999985
6,2,2400.0,1717.550000000003
6,2,3600.0,1143.833333333343
6,2,4800.0,571.0333333333401
6,2,6000.0,0.0
6,2,7200.0,-569.8166666666657
6,2,8400.0,-1139.1499999999942
6,2,9600.0,-1705.800000000003
6,2,10800.0,-2227.4666666666744
6,1,1200.0,2292.350000000006
6,1,2400.0,1717.550000000003
6,1,3600.0,1143.8333333333285
6,1,4800.0,571.0333333333256
6,1,6000.0,0.0
6,1,7200.0,-569.8166666666657
6,1,8400.0,-1139.1500000000087
6,1,9600.0,-1705.800000000003
6,1,10800.0,-2227.46666666666
6,0,1200.0,2292.350000000006
6,0,2400.0,1717.550000000003
6,0,3600.0,1143.833333333343
6,0,4800.0,571.0333333333401
6,0,6000.0,0.0
6,0,7200.0,-569.8166666666657
6,0,8400.0,-1139.1499999999942
6,0,9600.0,-1705.7999999999956
6,0,10800.0,-2227.4666666666453
7,6,1200.0,2292.350000000006
7,6,2400.0,1717.5499999999956
7,6,3600.0,1143.8333333333285
