alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.7000000000,0.5000000000,857751.5219167395,857925.1967581419,14044.8433505022,2662.7763101232,8166.6061733762,43210.3796116716,847864.6085861258,11188.9423240229,-15346.8723439116,1373540.7605367908,1338496.9870984950,63438.2049652260,63506.1243131700,1594.7729984382
0.7000000000,0.5500000000,853677.3340409299,853847.1367303160,7738.0722803877,1465.7624578962,9564.3510750219,39897.6573142704,847480.1497386621,12438.7773243509,-13979.6653024705,1372648.9515656382,1342315.6453263895,62914.7460258043,62973.0714752550,1604.1587695525
0.7000000000,0.6000000000,852980.6609102879,853092.1508802054,3849.2381887137,745.8756399239,11757.2855067654,36487.2848507080,846838.8893974464,14808.8161917162,-12516.2828675885,1371161.4536736975,1346431.4543297547,62694.1984982944,63106.2808588729,1745.5039015790
0.7000000000,0.6500000000,855116.3030786708,855175.2175400396,2237.9051494587,426.7734538704,14783.4812697190,33485.3356930614,846000.9695641268,18080.3478408043,-11202.9194757191,1369217.7750995394,1350515.9206761969,62839.2416063395,63378.8136246455,1872.9425164295
0.7000000000,0.7000000000,859853.9366306956,859880.0306257257,1586.1043573260,295.4151166062,19418.0754181567,31137.0532974638,845137.4106341746,23219.7780398186,-10089.3564006237,1367214.6228611907,1355495.6449818835,63339.3283325647,63936.1635298382,1952.4965689607
0.7000000000,0.7500000000,866335.9664779092,866311.1254267232,944.7663675757,165.5420500941,25692.9920769285,29862.4796927507,844352.8409207603,30460.5746469096,-9422.2154573365,1365394.6977546855,1361225.2101388632,63848.9981859541,64630.0299754555,2075.9588409634
0.7000000000,0.8000000000,876091.1944685838,875991.2572020646,645.3596044169,113.1588401884,34950.9624644302,29058.4310378043,843063.4233742057,41350.3425467763,-8967.9310568151,1362403.7036777786,1368296.2351044042,64517.9963165682,65746.9653674181,2257.9857566644
0.7500000000,0.5000000000,862528.9456375990,862676.0065955609,14141.8957549837,2647.1646819180,4641.8796022786,55791.0870153903,861862.8941886836,6623.0957296475,-20098.9400357159,1392993.4945619109,1341844.2871487995,63621.9158098252,63740.3799261101,1659.2828155571
0.7500000000,0.5500000000,858094.7339941697,858237.9228001155,7703.5564267605,1435.2295236883,5589.1990106296,52299.8965353181,861492.6473330897,7585.1864709034,-18686.6562365839,1392134.6524009418,1345423.9548762534,63109.8317018712,63359.7509733499,1668.6685866714
0.7500000000,0.6000000000,856899.8113842590,857003.6653447029,3752.2345873071,703.2997490696,7301.6975265550,48622.6447876938,860838.7346482029,9419.1536075327,-17110.3114587837,1390617.8055327283,1349296.8582715895,62925.1364216775,62939.4821563249,1764.0129468970
0.7500000000,0.6500000000,858503.0116779816,858546.3644178684,2226.4034761705,424.8438960789,9386.8019408669,44916.3895651778,860048.7021189866,11702.0889415454,-15474.1828587209,1388785.2086196770,1353255.6209953662,62917.5508188735,63209.4140709617,1910.6628216647
0.7500000000,0.7000000000,862301.2324406317,862285.0847081695,1579.2817861764,295.4151166062,12563.0466703350,41355.3085692284,859297.2817761574,15313.2195651207,-13888.5506868229,1387042.1783649123,1358249.9164660191,63294.2503172336,63650.3399364872,2054.8869668687
0.7500000000,0.7500000000,867421.4676215895,867365.5515023484,908.0342331070,159.2539161441,17193.5913428196,38531.4190211751,858596.6908280374,20495.8747413599,-12579.1321809146,1385417.0543841189,1364079.2267057630,63805.3236416886,64342.7544776186,2151.2821947196
0.7500000000,0.8000000000,875794.7552845522,875692.7636963946,645.3596044169,113.1588401884,24332.6153845541,36235.2561809170,857475.2388468123,29125.3103097341,-11451.1534764112,1382815.6811964011,1370913.0404000382,64428.9189530947,65441.5945295395,2262.9652596933
0.8000000000,0.5000000000,869190.6912089175,869308.9026453907,14185.5666167027,2634.0921668846,1728.3257111632,72010.5224926957,878455.2268299705,2824.7570350555,-26274.8592728111,1416188.4263371434,1345906.2295556108,64051.7466017336,64254.2928205480,1729.2116314474
0.8000000000,0.5500000000,864149.6942697880,864264.0335542446,7646.1399258832,1413.9174120856,1877.9270497708,67590.0201135088,878122.8858889715,2945.8029406952,-24565.1344857621,1415417.5125329238,1349705.4194691861,63554.2225879764,63944.4830026930,1738.5974025617
0.8000000000,0.6000000000,862521.8917100631,862596.8961490181,3693.5713841886,686.2833414828,2770.2322083773,63160.5175403076,877486.7557378662,4059.7341729949,-22718.1695849866,1413941.9148732042,1353551.6295412737,63247.2477231347,63503.3530607965,1833.9417627873
0.8000000000,0.6500000000,863706.1282605124,863720.6314789100,2216.3244041638,423.9588899950,4098.7694426580,59026.4664346215,876671.0790263829,5699.7564176711,-20881.0315877056,1412049.8324990836,1357122.1355071203,63200.9657202146,63358.2261066963,1980.5916375550
0.8000000000,0.7000000000,866466.9969321042,866436.8324598444,1573.5565015992,295.4151166062,6085.2958161885,54805.7809542263,875983.5840962899,7930.3617478109,-19020.5054135959,1410455.0866626352,1361734.6015245973,63389.7207348244,63594.9290774523,2088.8623663235
0.8000000000,0.7500000000,870360.0756347177,870253.7987964267,871.7606432394,153.0442799433,8945.8625346500,50831.8075914562,875404.1134111737,11309.1793803460,-17224.9778000413,1409110.9189866523,1367224.9739298462,63908.4415994405,63927.4705729563,2273.3523459309
0.8000000000,0.8000000000,877432.4016643333,877309.4823931166,645.3596044169,113.1588401884,14372.0467205456,46648.9133528119,874398.6757308403,17689.5447267073,-15301.1783976312,1406778.6555012339,1374501.7888689674,64519.8601561584,64994.1620428119,2313.6922048943
0.8500000000,0.5000000000,881247.7222321534,881336.4755364296,14269.9398791761,2638.7317142453,1175.0743020753,96351.6181983982,901040.1480873273,1968.5703307952,-36030.9360651452,1446450.3511182691,1351273.8072219463,64847.7928501887,65241.1395555509,1800.6156685531
0.8500000000,0.5500000000,876022.3058011626,876107.1869534224,7629.2755265963,1400.9486890132,1201.7719788008,91711.6329776543,900708.9238554599,1966.2865711514,-34282.1801520449,1445682.0276854986,1355172.1666866448,64302.5753418348,64745.5743998243,1810.0014396674
0.8500000000,0.6000000000,873754.3375867950,873799.8838935528,3734.7436292722,685.9431596901,1292.1148715691,86436.1059106691,900079.4963613667,2071.9102702909,-32131.8126741347,1444221.9778267806,1359077.9867876805,64195.6330051515,64240.1705661998,1905.3457998929
0.8500000000,0.6500000000,874036.2739422213,874021.3190284221,2282.7978327466,432.5433567505,1331.1128779327,80807.3582936638,899313.1456817462,2105.4273818633,-29665.0969541346,1442444.3144548933,1362968.0690391620,63936.2470049950,64340.7304273150,2051.9956746607
0.8500000000,0.7000000000,875614.4242629588,875556.6534614008,1586.5803201362,295.4151166062,1598.0187581058,74832.5539294713,898583.1394560493,2443.6692980302,-26998.9648112569,1440750.9574015487,1367516.4222301831,64105.1114791110,64559.8608632071,2155.7777888080
0.8500000000,0.7500000000,877772.7859894575,877657.8925031191,793.6877466738,139.1968496026,2394.8680166251,69275.2376886207,898018.2348270704,3403.5990354505,-24442.7356197371,1439440.5778400109,1372560.2081680153,64307.0032346918,64817.0966842990,2294.2383767488
0.8500000000,0.8000000000,882566.9171395615,882414.5397361476,600.4927839499,105.4781382339,4973.1851215787,63725.7304769991,897181.9359209873,6626.6468321035,-21842.1583974793,1437500.6468990471,1378748.1015436267,64636.0654369139,65094.9546810353,2385.0962419999
0.9000000000,0.5000000000,905212.9180221847,905252.7210592806,14202.1078138203,2621.2582301248,395.5931179993,143959.9076741505,947247.0804180802,769.4493822062,-57005.7195919220,1502165.4068578084,1358601.0923016570,66930.3539869895,67880.6450528422,1919.2670029516
0.9000000000,0.5500000000,900046.7019987650,900082.6328838445,7682.9500720960,1409.4159843238,370.0608549391,139331.5197207484,946915.2248414910,676.4540040112,-55227.9269188332,1501395.6189278869,1362434.1600620775,66852.0852916749,67382.0207938662,1928.6527740659
0.9000000000,0.6000000000,897717.9123636232,897714.5084032009,3735.1984463712,685.9431596901,457.5415698501,133992.1192772036,946276.5858884294,779.7599214878,-53073.6318926653,1499914.2017321978,1366379.6240248443,66834.1065983754,66873.2839876121,2023.9971342915
0.9000000000,0.6500000000,897943.8466869895,897879.9415060101,2282.7978327466,432.5433567505,489.8142540698,128290.3454103687,945507.3824456359,804.4443661310,-50650.7779575239,1498129.9209555946,1370329.3897992957,66363.6914563789,66957.7489804700,2170.6470090592
0.9000000000,0.7000000000,899351.1023610029,899244.3812922648,1623.6813846038,301.7664072794,567.9560598129,121916.7890993457,944784.9195328881,887.5370433305,-47945.0355998194,1496454.0617286223,1375105.2286890892,66470.6411685242,67179.0221153132,2274.4291232065
0.9000000000,0.7500000000,901264.3151538700,901111.8785313006,976.9105439896,171.0447765195,606.7997954820,114967.0316277274,944241.8028036694,909.3550407686,-44863.7532345575,1495194.2224124107,1380833.9905801655,66559.8277392878,67410.3486434393,2385.2397842574
0.9000000000,0.8000000000,904369.9411792215,904168.6135086275,639.8298751979,112.2068337807,873.7499145159,106804.3972249823,943377.4324571143,1335.6183730137,-40982.9395261045,1493188.5586440903,1387257.9113336240,66751.8357882494,67742.2836544089,2503.7475763984
