method,policy,month,planned_cost,emergency_cost,total_cost,emergency_kwh,spill_kwh
Ridge,H4_conditional,6,1274665.874055496,134256.80178429888,1408922.6758397948,22345.507576530155,223843.62515894836
Ridge,H4_conditional,7,1444270.0802100946,44841.65281882872,1489111.7330289234,7448.6600797048995,256050.12025523107
Ridge,H4_conditional,8,1251793.2536083104,28860.555428860265,1280653.8090371706,4479.172535488323,312850.2768084959
Ridge,H4_conditional,9,1052334.9091766027,80019.68434419193,1132354.5935207948,12418.070730828142,233186.78983729717
Ridge,H4_conditional,10,1081959.7508408378,42540.08774128895,1124499.8385821267,7001.241870107141,217498.74052399705
Ridge,H4_conditional,11,1244486.7457973456,7883.427937458211,1252370.173734804,1498.6174141568245,125574.79485540594
Ridge,H4_conditional,12,1639947.9564739773,24386.942858547096,1664334.8993325243,4837.640439702998,132411.6665237963
TeamA,H0_fixed_SAA,2,1202014.2891753742,54924.85699511345,1256939.1461704876,14717.679289257621,164803.96223260884
TeamA,H0_fixed_SAA,3,1117128.3244300955,95041.7281288122,1212170.0525589078,25420.143916042136,257631.12232688454
TeamA,H0_fixed_SAA,4,937984.0188660371,86675.16922136066,1024659.1880873978,23719.660576464878,312380.48909030226
TeamA,H0_fixed_SAA,5,976358.7483316079,91752.58326219187,1068111.3315937999,23477.53178208696,378232.2235854597
TeamA,H0_fixed_SAA,6,1314833.4578530283,174562.8475200495,1489396.3053730777,45134.16859224319,308840.59201697743
TeamA,H0_fixed_SAA,7,1476439.3932309933,140278.94306721282,1616718.3362982061,36690.20610271407,335841.36574148154
TeamA,H0_fixed_SAA,8,1270799.0000878759,103049.29970917423,1373848.2997970502,27184.156024244166,370345.61438631045
TeamA,H0_fixed_SAA,9,1126096.1499468107,99929.01122605063,1226025.1611728612,26183.83766736482,360944.0710475929
TeamA,H0_fixed_SAA,10,1130155.7223547536,62994.697093979696,1193150.4194487333,16419.636046349737,294818.2300704886
TeamA,H0_fixed_SAA,11,1263915.0621210625,56451.85330691241,1320366.9154279751,15111.713776777484,167740.50981880378
TeamA,H0_fixed_SAA,12,1663174.2948904643,83396.78205087346,1746571.0769413377,22439.678258470092,183333.8973669704
TeamA,H1_fixedQ_causal,2,1202014.2891753742,4783.63976033947,1206797.9289357136,871.6146181970781,158219.433061364
TeamA,H1_fixedQ_causal,3,1117128.3244300955,35978.17669106955,1153106.5011211652,5565.841314724267,247690.9711035936
TeamA,H1_fixedQ_causal,4,937984.0188660371,38017.713640170514,976001.7325062077,5931.241372290801,303063.39242617704
TeamA,H1_fixedQ_causal,5,976358.7483316079,32767.032289213217,1009125.7806208212,5161.130837005118,369300.99971566047
TeamA,H1_fixedQ_causal,6,1314833.4578530283,134506.00193492646,1449339.4597879548,22688.750066838405,303704.91356989957
TeamA,H1_fixedQ_causal,7,1476439.3932309933,80258.68035551265,1556698.073586506,12951.976766192862,325254.13224144187
TeamA,H1_fixedQ_causal,8,1270799.0000878759,25965.286112252026,1296764.286200128,4074.2882350064106,356267.02844549064
TeamA,H1_fixedQ_causal,9,1126096.1499468107,55817.6799739477,1181913.8299207585,8673.371027709642,354482.00039125426
TeamA,H1_fixedQ_causal,10,1130155.7223547536,16129.463061241573,1146285.185415995,2666.796570445792,290674.8764630153
TeamA,H1_fixedQ_causal,11,1263915.0621210625,7188.06233965162,1271103.1244607142,1225.2675734762227,163186.4132940027
TeamA,H1_fixedQ_causal,12,1663174.2948904643,41042.74482256965,1704217.039713034,7912.330039436886,178222.5557822486
TeamA,H1_replan_SAA,2,1195762.9192617787,4783.63976033947,1200546.559022118,871.6146181970781,143569.92416322103
TeamA,H1_replan_SAA,3,1109944.9788234392,36359.30392497141,1146304.2827484105,5640.962480369653,230104.29399065254
TeamA,H1_replan_SAA,4,931274.4888317111,38017.713640170514,969292.2024718816,5931.241372290801,286399.36226894474
TeamA,H1_replan_SAA,5,964452.8988348375,32211.630389319438,996664.5292241569,5024.971384252999,339433.99646675657
TeamA,H1_replan_SAA,6,1301698.6084580536,130221.24286017736,1431919.8513182309,21875.311292471175,270956.09900736087
TeamA,H1_replan_SAA,7,1461776.7694176738,76438.70996624573,1538215.4793839194,12247.994021055076,288533.99959655356
TeamA,H1_replan_SAA,8,1261900.7369110344,25965.286112252026,1287866.0230232864,4074.2882350064106,334171.2216811813
TeamA,H1_replan_SAA,9,1111783.2220503767,59330.23162381673,1171113.4536741935,9171.900126440712,319982.17347866617
TeamA,H1_replan_SAA,10,1117903.7721204804,16129.463061241573,1134033.2351817219,2666.796570445792,260798.1506130771
TeamA,H1_replan_SAA,11,1255790.2105758244,7188.06233965162,1262978.272915476,1225.2675734762227,144119.1682604915
TeamA,H1_replan_SAA,12,1655206.4894752018,42606.538990590496,1697813.0284657923,8202.25567852729,159930.7832541543
TeamA,H2_point,2,1135062.1305645173,95348.49240869106,1230410.6229732085,16301.202002707167,73448.93922327487
TeamA,H2_point,3,1033523.2311754174,189099.26437870789,1222622.4955541254,31346.801291161428,142947.27033618224
TeamA,H2_point,4,856000.651343951,184436.0682391036,1040436.7195830545,29628.611837159027,180934.94918601486
TeamA,H2_point,5,861137.9542888138,202706.87002709231,1063844.824315906,31973.973176362917,200743.017302791
TeamA,H2_point,6,1138965.1734722457,441048.1092933044,1580013.28276555,77619.70688270302,93657.8881235145
TeamA,H2_point,7,1326241.5935779796,306743.5399786206,1632985.1335566002,69390.22188954074,149310.58542314658
TeamA,H2_point,8,1155638.4734540118,247248.9758021808,1402887.4492561927,41434.448841295765,199022.50996241003
TeamA,H2_point,9,975613.9679362336,417992.31712135917,1393606.285057593,72806.3240226275,176824.40158491285
