method,policy,period,days,planned_cost,emergency_cost,total_cost,planned_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slots,events,solve_seconds,start_soc,end_soc,inventory_adjusted_cost,cvar90,cvar95,max_daily_cost,emergency_day_frequency,emergency_slot_frequency
Ridge,H1_fixedQ_causal,later61,61,2924600.287117352,19515.74684242189,2944116.0339597734,4730432.83273561,3944.3929568541607,328881.400889377,1334492.7086290126,1081006.2280425923,41.0,17.0,2.9981830309984616,6144.526913257409,6069.933520933333,2944146.8078781846,65439.195330074785,66421.33378361544,69920.49030570238,0.19672131147540983,0.004667577413479053
Ridge,H1_replan_SAA,full334,334,13310756.957195237,356684.25485754793,13667441.212052785,21793083.239381745,57851.69627153824,2684082.7459570486,6461051.339793304,5233388.645063737,532.0,193.0,15.903516737006157,6000.0,6069.933520933333,13667412.360590205,63156.1185016869,65682.59006946602,83280.62902714737,0.3532934131736527,0.011061210911510314
Ridge,H1_replan_SAA,development153,153,6217861.009738797,206115.82495407976,6423976.834692877,10062252.692985594,33044.277277309186,1411501.5825704217,2855338.531902068,2313985.8924595867,338.0,133.0,7.1299656609985504,7435.284267603703,6144.526913257409,6424509.343810286,59972.08546679079,63590.04508941094,83280.62902714737,0.477124183006536,0.015341321713870733
Ridge,H1_replan_SAA,later61,61,2908444.1271899245,23116.798150422066,2931560.9253403465,4692629.51554597,4655.077187772496,291920.8796545992,1333797.3837661503,1080443.014903674,44.0,17.0,2.988182199001585,6144.526913257409,6069.933520933333,2931591.6992587578,65742.27462796972,67189.81032957113,71629.84765200224,0.19672131147540983,0.005009107468123861
Ridge,H2_point,full334,334,12068730.921647266,4135346.706278768,16204077.627926031,19902959.851179082,768374.6966127881,1514631.8689578641,6409177.721002547,5191664.537135206,7944.0,1367.0,3.02230308299886,6000.0,5743.79652984074,16204183.326090997,84642.83031720939,92204.26539593714,117048.96604984565,0.9041916167664671,0.16516966067864272
Ridge,H2_point,development153,153,5609545.527114337,1950522.206111354,7560067.733225692,9119139.667709269,393652.5073412163,834116.7975952623,2825166.447420799,2288933.8182155774,4873.0,928.0,1.3676318329999049,6253.221022792592,5643.225684203704,7560319.39019149,88364.88721147348,96739.33559886503,117048.96604984565,0.9150326797385621,0.22117828612926652
Ridge,H2_point,later61,61,2565344.610966745,1296511.2427620653,3861855.853728811,4213622.081113076,230594.07371604236,42079.688174939314,1315982.1509286293,1065855.0284911164,2043.0,232.0,0.5624036179988252,5643.225684203704,5743.79652984074,3861814.362667716,90321.74742857815,96315.35918741752,100464.96728161469,1.0,0.23258196721311475
Ridge,H3_quantile,full334,334,13100058.04716008,610349.3822268423,13710407.429386921,21450715.618663266,99102.2536539115,2371134.459739583,6523188.91039846,5283694.992787531,794.0,240.0,3.054542945995763,6000.0,6097.805150247626,13710367.079328824,64786.86387392865,67501.47327767241,88659.79163726652,0.41916167664670656,0.016508649367930804
Ridge,H3_quantile,development153,153,6077696.054103021,370315.66724200593,6448011.721345026,9838380.571939368,59797.25638651586,1205194.701604023,2905437.852338556,2354897.4738666965,512.0,165.0,1.386589147997256,7795.048901596109,6136.367265523491,6448696.0196688855,63053.32196943423,69158.08728744843,88659.79163726652,0.5620915032679739,0.023238925199709513
Ridge,H3_quantile,later61,61,2901211.2437091162,24635.845676703306,2925847.089385819,4681515.840025851,5016.659869930107,280524.24585209694,1337019.030161921,1083020.1203349046,41.0,16.0,0.5686434839981303,6136.367265523491,6097.805150247626,2925862.99840071,65818.78629524157,67149.0490533048,71281.763485225,0.21311475409836064,0.004667577413479053
Ridge,H4_conditional,full334,334,13086798.454650052,590461.0703842172,13677259.52503427,21443605.52658575,96408.29286378126,2357708.7598771355,6542534.704199092,5299419.139593363,837.0,251.0,3.0665586869936305,6000.0,6037.745342112591,13677243.952983685,64142.92782101909,66793.0910579768,88657.54765112692,0.44011976047904194,0.01740269461077844
Ridge,H4_conditional,development153,153,6105023.867891341,330518.78211746877,6435542.650008811,9882336.768373128,53692.65279265866,1243429.5525839697,2903231.1452842304,2353074.0249524126,491.0,157.0,1.3893480529986846,7668.430078020828,6049.7664422592625,6436210.43868432,62058.61605725246,67239.55330776497,88657.54765112692,0.5359477124183006,0.02228576615831518
Ridge,H4_conditional,later61,61,2884434.7022713227,32270.370796005307,2916705.0730673284,4659270.585249503,6336.257853859823,257986.46137920223,1345378.1920927647,1089767.1545852714,71.0,25.0,0.5676570050018199,6049.7664422592625,6037.745342112591,2916710.0324389776,65907.87845144149,67664.95923635035,72512.00854904193,0.29508196721311475,0.00808287795992714
TeamA,H0_fixed_SAA,full334,334,13478898.461288102,1049057.7715817308,14527956.232869834,22123273.83270572,276498.41203201516,3134912.07768388,6977214.063616782,5651543.391529594,9066.0,3712.0,15.88806414699684,6000.0,6000.0,14527956.232869834,66940.80292783759,69512.11608479182,87052.38141894473,0.9910179640718563,0.18849800399201597
TeamA,H0_fixed_SAA,development153,153,6318323.723473462,580814.7986164668,6899138.522089928,10254406.929019524,151612.004432916,1670789.873262851,3119927.957576786,2527141.645637197,4081.0,1560.0,7.118517424000856,6000.0,6000.0,6899138.522089928,66732.54699342967,71918.32552472955,87052.38141894473,0.9803921568627451,0.18523057371096588
