method,month,tau,pv_bin,coverage,pinball,exceedance,effective_n,tail_effective_n
Ridge,7,0.8,1,0.8320707070707071,104.30266895151513,40.76573204450758,12.128538828228818,2.4257077656457633
Ridge,7,0.9,0,0.8479938271604939,82.84336578749999,33.31604692361111,12.12853882822882,1.2128538828228816
Ridge,7,0.9,1,0.9056186868686869,66.21553515602903,19.168854420770202,12.128538828228818,1.2128538828228816
Ridge,7,0.95,0,0.8773148148148148,56.208680824074094,25.97281107407407,12.12853882822882,0.6064269414114415
Ridge,7,0.95,1,0.9387626262626263,39.90391876631947,10.912738339015151,12.128538828228818,0.6064269414114415
Ridge,8,0.5,1,0.578125,155.6332481781684,106.7124331345486,12.12853882822882,6.06426941411441
Ridge,8,0.5,2,0.4486111111111111,144.94115626018515,182.07628348611112,12.12853882822882,6.06426941411441
Ridge,8,0.8,1,0.8342013888888888,109.68875276041665,32.659559191406245,12.12853882822882,2.4257077656457633
Ridge,8,0.8,2,0.749537037037037,107.36191869212962,63.07506445370371,12.12853882822882,2.4257077656457633
Ridge,8,0.9,1,0.9066840277777778,72.80767258906248,17.9164018923611,12.12853882822882,1.2128538828228816
Ridge,8,0.9,2,0.8537037037037037,70.79515461939815,32.23996305879629,12.12853882822882,1.2128538828228816
Ridge,8,0.95,1,0.9431423611111112,43.596586682638915,10.698173588975692,12.12853882822882,0.6064269414114415
Ridge,8,0.95,2,0.9074074074074074,44.8280602389815,19.987229244907404,12.12853882822882,0.6064269414114415
Ridge,9,0.5,0,0.3421717171717172,120.45955704829545,170.4234527367424,19.2964999927831,9.64824999639155
Ridge,9,0.5,1,0.4016812865497076,152.21620469627192,188.59565490606724,19.2964999927831,9.64824999639155
Ridge,9,0.8,0,0.678030303030303,83.81955817525252,51.644082224747486,19.2964999927831,3.859299998556619
Ridge,9,0.8,1,0.7306286549707602,106.06040883150584,61.702589276681294,19.2964999927831,3.859299998556619
Ridge,9,0.9,0,0.8093434343434344,54.33947154103535,25.575025750631315,19.2964999927831,1.9296499992783096
Ridge,9,0.9,1,0.8450292397660819,68.2949358298611,30.050532703581872,19.2964999927831,1.9296499992783096
Ridge,9,0.95,0,0.889520202020202,32.71844540119952,12.608369773989901,19.2964999927831,0.9648249996391559
Ridge,9,0.95,1,0.9002192982456141,43.343733562828966,17.506167304459062,19.2964999927831,0.9648249996391559
Ridge,10,0.5,0,0.40046296296296297,107.4604524679398,122.56338864953705,20.540544342058656,10.270272171029328
Ridge,10,0.5,1,0.19444444444444445,120.99048795138894,224.5850188611112,20.540544342058656,10.270272171029328
Ridge,10,0.8,0,0.7289351851851852,74.72700437518517,38.72643031249999,20.540544342058656,4.108108868411731
Ridge,10,0.8,1,0.6111111111111112,74.69015696666665,71.63534622222221,20.540544342058656,4.108108868411731
Ridge,10,0.9,0,0.8451388888888889,48.094187171921284,19.187037690046285,20.540544342058656,2.0540544342058653
Ridge,10,0.9,1,0.7708333333333334,47.09860723263891,35.66284439583336,20.540544342058656,2.0540544342058653
Ridge,10,0.95,0,0.906712962962963,29.563080214108812,10.620228911574072,20.540544342058656,1.0270272171029338
Ridge,10,0.95,1,0.8333333333333334,29.028090948958337,19.351551416666663,20.540544342058656,1.0270272171029338
Ridge,11,0.5,0,0.5224537037037037,85.18323603460648,81.43145953472221,20.540544342058656,10.270272171029328
Ridge,11,0.8,0,0.8074074074074075,59.007051552499995,23.00849371828704,20.540544342058656,4.108108868411731
Ridge,11,0.9,0,0.8951388888888889,38.10374934706017,11.293027741203703,20.540544342058656,2.0540544342058653
Ridge,11,0.95,0,0.9351851851851852,23.22744996369215,6.138866078472223,20.540544342058656,1.0270272171029338
Ridge,12,0.5,0,0.543010752688172,89.26541697412634,77.0364253187724,20.540544342058656,10.270272171029328
Ridge,12,0.8,0,0.8131720430107527,64.53810792401433,23.853466368727602,20.540544342058656,4.108108868411731
Ridge,12,0.9,0,0.8976254480286738,41.76886320232974,12.146358882840499,20.540544342058656,2.0540544342058653
Ridge,12,0.95,0,0.9408602150537635,25.55719002207663,6.621743708781361,20.540544342058656,1.0270272171029338
