method,seed,target,period,MAE_kW,RMSE_kW,WAPE,MASE,R2,bias_actual_minus_forecast_kW,underestimate_frequency,peak_MAE_kW,price_weighted_MAE_kW,daily_energy_MAE_kWh,ramp_MAE_kW
A3 负荷学习权重,0,pv,forecast_common_275,156.26436407539683,309.5377555563109,0.06432600464451824,0.7105177776602951,0.9895838095288579,-15.433205073232324,0.2582828282828283,471.2678722113997,163.86083477903443,2211.972359333333,53.77198166778677
A3 负荷学习权重,0,pv,development_184,176.103340203373,337.54381560165064,0.06688829810859143,0.7009964390418275,0.9885023498313099,-15.926749318495508,0.2689085144927536,479.93830920215635,185.11475159055178,2528.41968136646,60.35410711788212
A3 负荷学习权重,0,pv,holdout_61,88.34403193143376,185.48667180212888,0.05254459497635311,0.6891303949859844,0.9939869447082351,-39.802026288056204,0.1662112932604736,293.3373158946855,91.16147483670464,1216.3146850117096,30.98910783315046
A3 负荷学习权重,0,net,full_334,274.89301674518293,397.0536511709807,0.09160240143918025,0.8386744857439516,0.974195287779896,-2.3255429988874665,0.49476047904191617,240.1883959458222,279.6105000322093,3436.1064535255973,150.37185949358656
A3 负荷学习权重,0,net,forecast_common_275,274.8155557292,394.10233503999723,0.09082415435881061,0.8105743973731198,0.9755525923706296,26.73919208145223,0.5244444444444445,245.03089083110044,280.0233414058231,3370.3853917365436,150.1858409366225
A3 负荷学习权重,0,net,development_184,307.1588283413333,430.6138389627834,0.10127221932277396,0.8107055972369436,0.9735136383824454,18.40344856538262,0.5111337560386473,265.9069606367733,314.8110865254179,3879.6348774289045,160.72357788927997
A3 负荷学习权重,0,net,holdout_61,196.15127412446367,277.9754504241476,0.06284314131209169,0.8060812180177995,0.9793494219792845,84.64834108795165,0.6037112932604736,171.50319967800445,194.84020849837395,2307.624860393721,125.78326772854902
A4 光伏Lag1,0,load,full_334,174.9850109508067,244.38366763526767,0.03790198970441341,0.9897581784817738,0.9698624685764118,3.8329376311952448,0.4927852628077179,224.25510641995803,177.21975755452777,2424.3974879990033,120.18217717578827
A4 光伏Lag1,0,load,forecast_common_275,181.69673118156567,255.7171588043217,0.03902105655716429,0.9880411166469789,0.9668973069503543,13.414713146716329,0.5071464646464646,237.39353866666625,184.74768764717982,2697.510797121214,118.89564374748888
A4 光伏Lag1,0,load,development_184,208.17218334088167,287.6383295139499,0.043868205032773416,1.02317853060046,0.95755634453147,0.09851428064526345,0.4778834541062802,251.19903858867886,213.66378483351164,3425.762958496382,126.51424421746734
A4 光伏Lag1,0,load,holdout_61,141.81644666097432,193.6123953242873,0.031393466694934,0.9232715435812243,0.981449160545585,61.90204774248553,0.6065573770491803,229.4113546302609,139.12437462770637,1671.5003918852367,105.28646147884902
A4 光伏Lag1,0,pv,full_334,190.58060201887892,380.71172712835147,0.08011447474086436,0.8877086591789852,0.9838592739506054,14.013092280023283,0.29405771789753826,626.8671012889813,198.28464009717032,2532.9186203093814,68.16143684519075
A4 光伏Lag1,0,pv,forecast_common_275,190.65045467424244,382.82249764913047,0.07848099024635978,0.8668677479128157,0.9840677702980377,-3.784696058080808,0.27244949494949494,620.9331763131313,198.14369615600364,2372.6015898787878,70.16697345708837
A4 光伏Lag1,0,pv,development_184,213.477186401721,414.16530785618806,0.08108378675232054,0.8497666615037244,0.9826900339743552,-4.887076385114735,0.28072161835748793,626.1543006037737,222.42041882039155,2739.7089225543477,78.89724415475828
A4 光伏Lag1,0,pv,holdout_61,105.51999616347906,225.08085862995807,0.06276038504354867,0.8231120432843226,0.9911458493650896,-8.674463672586521,0.22017304189435338,378.6945456200227,107.42673858252091,1045.540836885246,40.625132316863464
A4 光伏Lag1,0,net,full_334,306.9260711678726,451.5826501742206,0.10227675302982225,0.9364045254621324,0.9666208611577286,-10.180154648828033,0.4858408183632735,257.14131286694374,312.2023258586631,3747.815361981037,155.10027274632554
A4 光伏Lag1,0,net,forecast_common_275,313.72115637348486,459.91313442735867,0.10368211747142533,0.9253273039653345,0.9667059656790565,17.199409204797146,0.5136111111111111,263.7582079368685,319.60759531867967,3748.9700296424226,155.92871375994915
A4 光伏Lag1,0,net,development_184,354.6301856280194,503.2591109156896,0.11692382775170254,0.9360000426825553,0.9638232432028822,4.985590665760012,0.4941500603864734,288.01810677358475,363.573016379254,4378.694396974638,168.7394628857556
A4 光伏Lag1,0,net,holdout_61,205.92860254439876,297.2671797267923,0.06597561156644667,0.8462610273862586,0.9763836241038563,70.57651141507205,0.5900500910746812,174.6278512855515,202.83159690439803,2265.9953971311375,123.53179619626273
A5 光伏Lag7,0,load,full_334,174.9850109508067,244.38366763526767,0.03790198970441341,0.9897581784817738,0.9698624685764118,3.8329376311952448,0.4927852628077179,224.25510641995803,177.21975755452777,2424.3974879990033,120.18217717578827
A5 光伏Lag7,0,load,forecast_common_275,181.69673118156567,255.7171588043217,0.03902105655716429,0.9880411166469789,0.9668973069503543,13.414713146716329,0.5071464646464646,237.39353866666625,184.74768764717982,2697.510797121214,118.89564374748888
A5 光伏Lag7,0,load,development_184,208.17218334088167,287.6383295139499,0.043868205032773416,1.02317853060046,0.95755634453147,0.09851428064526345,0.4778834541062802,251.19903858867886,213.66378483351164,3425.762958496382,126.51424421746734
A5 光伏Lag7,0,load,holdout_61,141.81644666097432,193.6123953242873,0.031393466694934,0.9232715435812243,0.981449160545585,61.90204774248553,0.6065573770491803,229.4113546302609,139.12437462770637,1671.5003918852367,105.28646147884902
A5 光伏Lag7,0,pv,full_334,214.68823137890885,419.9479682302922,0.09024861243886008,1.0,0.9803609025122192,-4.713533832335335,0.28164504324683964,656.4563163201664,226.03863175547133,3410.3487051896204,69.56863962983124
A5 光伏Lag7,0,pv,forecast_common_275,219.93026633333335,429.77652400613454,0.09053398333865907,1.0,0.9799198463128422,-26.529034681818178,0.25737373737373737,656.2224834343435,231.85218057008558,3438.280311151515,71.8760852027972
A5 光伏Lag7,0,pv,development_184,251.21859455389495,474.51561718064215,0.09541888429564517,1.0,0.977277830214668,-27.431368527324885,0.26513435990338163,685.959594528302,265.3016363996752,3947.3634162137673,81.0700171860748
A5 光伏Lag7,0,pv,holdout_61,128.1963944330601,270.35703631387383,0.07624768165598292,1.0,0.9872254640184583,-73.81898004326047,0.15289162112932606,420.67544459613197,131.93145308862648,2038.9067275956284,41.57071138369827
A5 光伏Lag7,0,net,full_334,325.4391866743595,483.5155073774208,0.10844586513966942,0.9928864172568369,0.9617332616510083,8.546471463530587,0.5014346307385229,262.8880470207898,333.2732045728867,4367.752569645704,156.19371351806873
A5 光伏Lag7,0,net,forecast_common_275,336.2061766613636,497.78193096180524,0.11111322139117444,0.9916473553227225,0.9609974453631651,39.94374782853452,0.532550505050505,270.43817607828254,345.1991352843187,4501.911947315148,157.25674727908458
A5 光伏Lag7,0,net,development_184,379.2283816659118,546.1823878114034,0.12503400943700888,1.0009237673807443,0.9573890004513242,27.529882807970154,0.5155495169082126,289.25226633584884,391.13168497006035,5031.64955516304,170.73308553397692
A5 光伏Lag7,0,net,holdout_61,238.44876426571014,356.56464593055995,0.07639445349172358,0.9799022269525537,0.9660221506278085,135.721027785746,0.6474271402550091,200.75766366325328,237.82035879316936,3518.0632055464334,124.07577417402268
A6 光伏SeasonalEWMA,0,load,full_334,174.9850109508067,244.38366763526767,0.03790198970441341,0.9897581784817738,0.9698624685764118,3.8329376311952448,0.4927852628077179,224.25510641995803,177.21975755452777,2424.3974879990033,120.18217717578827
A6 光伏SeasonalEWMA,0,load,forecast_common_275,181.69673118156567,255.7171588043217,0.03902105655716429,0.9880411166469789,0.9668973069503543,13.414713146716329,0.5071464646464646,237.39353866666625,184.74768764717982,2697.510797121214,118.89564374748888
A6 光伏SeasonalEWMA,0,load,development_184,208.17218334088167,287.6383295139499,0.043868205032773416,1.02317853060046,0.95755634453147,0.09851428064526345,0.4778834541062802,251.19903858867886,213.66378483351164,3425.762958496382,126.51424421746734
A6 光伏SeasonalEWMA,0,load,holdout_61,141.81644666097432,193.6123953242873,0.031393466694934,0.9232715435812243,0.981449160545585,61.90204774248553,0.6065573770491803,229.4113546302609,139.12437462770637,1671.5003918852367,105.28646147884902
A6 光伏SeasonalEWMA,0,pv,full_334,212.96818911650118,400.1598014248896,0.08952555730667393,0.9919881856058894,0.9821681059586423,-16.07930658084212,0.27143629407850967,600.1464507749159,225.0310198827811,3673.833373971094,61.40613781075699
A6 光伏SeasonalEWMA,0,pv,forecast_common_275,217.84119682190004,406.1990835688963,0.08967402082647465,0.9905012186532478,0.9820625983486307,-40.3332823109137,0.24497474747474748,595.0477166049849,230.62839015016365,3758.294417962468,61.96235572072157
A6 光伏SeasonalEWMA,0,pv,development_184,237.88948784356742,437.05319278942034,0.09035616792619985,0.9469421969580043,0.9807239797330253,-37.19266024841441,0.26071859903381644,617.7676425961071,252.0133654406317,3901.033477105336,69.50501340674478
A6 光伏SeasonalEWMA,0,pv,holdout_61,155.49216313682288,304.2847851876952,0.09248245246903102,1.2129215008306315,0.9838180723681031,-135.10568712871213,0.08822859744990892,456.7406741145482,161.84009337417265,3308.181067932681,36.66583776072663
A6 光伏SeasonalEWMA,0,net,full_334,320.9659054995368,465.6690023359398,0.10695523688443705,0.9792388287029226,0.9645059716794103,19.912244212037372,0.5118512974051896,271.1645533800703,328.79444880595696,4616.54287663691,149.64586628422103
A6 光伏SeasonalEWMA,0,net,forecast_common_275,330.77317334357883,476.66854822253964,0.10931766098100373,0.9756225950846993,0.9642358595387632,53.74799545763004,0.5452020202020202,279.8552358991514,339.7594828255749,4804.079083806283,149.30408918415674
A6 光伏SeasonalEWMA,0,net,development_184,360.1772528823572,509.0158402151486,0.1187527311064035,0.9506408019784075,0.9629908651197779,37.29117452905968,0.5236262077294686,289.6777399191902,370.9752746889812,4931.966810976149,161.37196536453922
A6 光伏SeasonalEWMA,0,net,holdout_61,268.9429187022596,397.9144725801208,0.08616420117754717,1.1052175748153439,0.9576845661998016,197.00773487119767,0.7021857923497268,235.8217560894642,270.6068867262896,4872.893708123921,120.69976030177857
