method,period,total_cost_yuan_mean,total_cost_yuan_std,planned_cost_yuan_mean,emergency_cost_yuan_mean,emergency_kwh_mean,spill_kwh_mean,regret_vs_oracle_mean,saving_vs_manual_mean
A6 光伏SeasonalEWMA,development_184,8139781.031167438,0.0,7399541.457332039,740239.5738353997,192047.65653646342,2217009.3106649765,0.24751328403786865,-0.01921618873808084
A6 光伏SeasonalEWMA,full_334,14809489.880966,0.0,13673099.824366633,1136390.0565993674,298517.47376072156,3434831.6366501693,0.20942696123841076,-0.013229466140930235
A6 光伏SeasonalEWMA,holdout_61,3105230.5491943806,0.0,2957279.897245679,147950.65194870188,40512.74799135017,394244.7235873352,0.1384511976250924,-0.012115909741368558
A7 学习负荷+EWMA光伏,cost_common_245,11272923.389227532,0.0,10382073.681471152,890849.7077563775,233235.6223815988,2649515.805631865,0.218378663600596,-0.01977051593349688
A7 学习负荷+EWMA光伏,development_184,8151947.523683087,0.0,7410884.407259473,741063.116423615,192259.357395425,2235413.9489407176,0.24937793629022087,-0.02073960639325234
A7 学习负荷+EWMA光伏,full_334,14841370.568728711,0.0,13700607.710527668,1140762.8582010434,299713.3259595159,3477246.2695924174,0.2120305190674081,-0.01541066566242999
A7 学习负荷+EWMA光伏,holdout_61,3120975.8655444435,0.0,2971189.2742116814,149786.5913327625,40976.264986173774,414101.85669114755,0.14422380419060676,-0.017247923268011167
Attachment1Static,cost_common_245,12847034.669394411,0.0,11580887.666839559,1266147.0025548502,327650.0601333333,4432158.810601372,0.38850876487681574,-0.16216767564864987
Attachment1Static,development_184,9203574.19803508,0.0,8296106.663467395,907467.5345676832,232706.04064999998,3557994.9983347054,0.4105515896206122,-0.15241820154271113
Attachment1Static,full_334,16585417.820019191,0.0,15070285.669145273,1515132.1508739167,393446.0907,5508020.990304213,0.3544593119791368,-0.1347341588788178
Attachment1Static,holdout_61,3643460.4713593316,0.0,3284781.0033721654,358679.4679871667,94944.01948333334,874163.8122666667,0.33577905775622496,-0.1875460617677085
ETS,cost_common_245,11066609.13224106,0.0,10174497.844280858,892111.2879602038,236817.28658806306,2353544.972374818,0.19608019850598368,-0.0011069280577393759
ETS,development_184,8009784.784992467,0.0,7300669.491644854,709115.2933476127,186798.3804667132,2069447.0405847963,0.22758989256611128,-0.002938812470907548
ETS,full_334,14622033.480515417,0.0,13482509.251094665,1139524.2294207516,303710.2150476265,3165444.971687071,0.19411820809539893,-0.0004041527722800087
ETS,holdout_61,3056824.347248594,0.0,2873828.3526360034,182995.99461259108,50018.90612134983,284097.9317900214,0.12070433545024994,0.003661561961077253
EqualWeekly,cost_common_245,11198868.43694479,0.0,10286425.369528852,912443.0674159362,239026.6617312083,2513780.4062570753,0.21037479710741347,-0.013071361305251328
EqualWeekly,development_184,8096335.755114222,0.0,7332527.126204169,763808.6289100528,197630.338810375,2126870.5444763503,0.24085480529039982,-0.013776223153247225
EqualWeekly,full_334,14758586.46253626,0.0,13610731.498145435,1147854.9643908236,301284.9368645416,3343363.921655381,0.20526989930292494,-0.009746777412630303
EqualWeekly,holdout_61,3102532.6818305664,0.0,2953898.243324684,148634.43850588336,41396.32292083334,386909.8617807247,0.13746209543679755,-0.011236569403177965
ExpandingMean,cost_common_245,12853823.866938097,0.0,11584973.860199623,1268850.0067384746,329334.34006844135,4422281.011969419,0.3892425420120442,-0.16278183962749093
ExpandingMean,development_184,9218854.752060072,0.0,8287726.963978124,931127.7880819485,239399.3408857816,3537464.133170602,0.41289350693517446,-0.15433154392569715
ExpandingMean,full_334,16618945.176420914,0.0,15094980.454294423,1523964.7221264904,394985.79557836725,5526417.949864969,0.35719734611111664,-0.13702801948448884
ExpandingMean,holdout_61,3634969.114878026,0.0,3297246.8962214994,337722.21865652595,89934.9991826598,884816.8787988176,0.33266592499443615,-0.18477839706331323
KalmanLocalLevel,cost_common_245,13181476.884337515,0.0,12086231.878278736,1095245.0060587772,285872.5215418584,5047145.891781244,0.4246553122119452,-0.19242196713158344
KalmanLocalLevel,development_184,9577131.015911559,0.0,8668265.352797719,908865.6631138388,237407.90305293186,4038927.8707984514,0.46780338679542943,-0.19919282050793208
KalmanLocalLevel,full_334,17171851.535513233,0.0,15558229.723472498,1613621.812040736,418042.6514135108,6155688.512551824,0.40235081615641954,-0.17485653481836705
KalmanLocalLevel,holdout_61,3604345.868425955,0.0,3417966.525481017,186379.34294493834,48464.61848892655,1008218.0209827918,0.3214387162425536,-0.17479708506375413
LSTM,cost_common_245,11101653.994962277,62046.00331766746,10124975.23553469,976678.7594275853,253207.85624373468,2305690.600687614,0.1998678507000141,-0.004277154316190283
