method,seed,period,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,emergency_slot_frequency,emergency_day_frequency,emergency_event_count,oracle_cost_yuan,regret_vs_oracle,saving_vs_manual
A7 学习负荷+EWMA光伏,0,holdout_61,2971189.2742116814,149786.5913327625,3120975.8655444435,4797124.033190167,40976.264986173774,414101.85669114755,0.18158014571949,1.0,700,2727592.149467768,0.14422380419060676,-0.017247923268011167
Attachment1Static,0,full_334,15070285.669145273,1515132.1508739167,16585417.820019191,24448696.30342333,393446.0907,5508020.990304213,0.22665086493679307,0.7904191616766467,3585,12245046.91527763,0.3544593119791368,-0.1347341588788178
Attachment1Static,0,cost_common_245,11580887.666839559,1266147.0025548502,12847034.669394411,18615287.4328341,327650.0601333333,4432158.810601372,0.2429138321995465,0.746938775510204,2534,9252397.243984384,0.38850876487681574,-0.16216767564864987
Attachment1Static,0,development_184,8296106.663467395,907467.5345676832,9203574.19803508,13404070.325905135,232706.04064999998,3557994.9983347054,0.21878774154589373,0.7554347826086957,1752,6524805.094516614,0.4105515896206122,-0.15241820154271113
Attachment1Static,0,holdout_61,3284781.0033721654,358679.4679871667,3643460.4713593316,5211217.106928962,94944.01948333334,874163.8122666667,0.31568761384335153,0.7213114754098361,782,2727592.149467768,0.33577905775622496,-0.1875460617677085
ETS,0,full_334,13482509.251094665,1139524.2294207516,14622033.480515417,22131823.672622316,303710.2150476265,3165444.971687071,0.21388473053892215,0.9910179640718563,4011,12245046.91527763,0.19411820809539893,-0.0004041527722800087
ETS,0,cost_common_245,10174497.844280858,892111.2879602038,11066609.13224106,16571707.834397111,236817.28658806306,2353544.972374818,0.22412131519274375,0.9877551020408163,2917,9252397.243984384,0.19608019850598368,-0.0011069280577393759
ETS,0,development_184,7300669.491644854,709115.2933476127,8009784.784992467,11916370.62589819,186798.3804667132,2069447.0405847963,0.2130132850241546,0.9836956521739131,2039,6524805.094516614,0.22758989256611128,-0.002938812470907548
ETS,0,holdout_61,2873828.3526360034,182995.99461259108,3056824.347248594,4655337.20849892,50018.90612134983,284097.9317900214,0.25762750455373407,1.0,878,2727592.149467768,0.12070433545024994,0.003661561961077253
EqualWeekly,0,full_334,13610731.498145435,1147854.9643908236,14758586.46253626,22312304.345934145,301284.9368645416,3343363.921655381,0.19602461743180305,0.9970059880239521,3714,12245046.91527763,0.20526989930292494,-0.009746777412630303
