method,seed,date,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,planned_purchase_kwh,emergency_kwh,spill_kwh,charge_kwh,discharge_kwh,emergency_slot_count,emergency_day_count,emergency_event_count
LSTM,2026,2025-04-05,16862.198178576124,207.74771534482014,17069.945893920943,32413.887864816348,96.76896219887556,17426.541843681887,16000.0,12959.999999999996,8,1,5
LSTM,2026,2025-04-06,43237.44669578754,571.2079105763445,43808.65460636389,71319.94468400237,155.65487399202448,12877.542620203967,22042.003532230396,17854.02286110662,11,1,8
LSTM,2026,2025-04-07,42607.724503094636,411.6392730271848,43019.36377612182,70359.28029276103,164.0296088268567,13121.614213990164,21889.349496128394,17730.373091864,17,1,10
LSTM,2026,2025-04-08,42461.94313727194,484.00798988027174,42945.95112715221,70128.61717967739,163.65237494398173,11781.668360621994,21881.092512277428,17723.684934944722,17,1,9
LSTM,2026,2025-04-09,41992.025636335966,1311.7756290130537,43303.80126534902,69426.20801321758,448.1529011269106,6591.734024577764,21833.241437368688,17684.925564268633,26,1,14
LSTM,2026,2025-04-10,43514.7651830256,524.2210742463817,44038.98625727198,71526.99994926892,139.04381772696934,13023.824757246883,22008.32163025796,17826.740520508945,14,1,6
LSTM,2026,2025-04-11,16895.577898154464,631.196493377539,17526.774391532002,32350.80695573672,218.74277519240127,24212.899564262454,15999.999999999996,12960.0,13,1,8
LSTM,2026,2025-04-12,16967.220948674796,99.53921652104802,17066.760165195843,32500.239121046816,46.501939376822634,20481.580510423642,15999.999999999996,12960.0,4,1,4
LSTM,2026,2025-04-13,42359.920912938236,553.2741220777252,42913.19503501596,70167.39859825971,130.51933917827603,11841.687859682177,21999.324181170974,17819.45258674849,8,1,4
LSTM,2026,2025-04-14,41416.15922278726,910.6746537002039,42326.833876487464,68845.05707582683,255.38092570229708,12428.487240952305,21810.099792509536,17666.180831932725,20,1,12
LSTM,2026,2025-04-15,40547.11166960011,428.4880207031274,40975.599690303236,67562.91898051121,115.13200706128316,13406.570776239436,21747.638831577508,17615.587453577784,15,1,10
LSTM,2026,2025-04-16,39294.85357150558,2084.2704827603475,41379.12405426592,65645.76277912666,738.0064382294063,6484.978664575172,21679.992646215236,17560.79404343434,36,1,13
LSTM,2026,2025-04-17,40155.05491740985,270.40558992144514,40425.46050733129,66886.09364596372,95.54383030781628,9993.977524177997,21680.61895838705,17561.301356293512,10,1,9
LSTM,2026,2025-04-18,15897.885006008546,164.21146212314926,16062.096468131695,30845.96126744322,63.49097334926125,21515.335057459146,16000.0,12960.0,11,1,8
LSTM,2026,2025-04-19,15721.348903249544,221.70709973161792,15943.056002981162,30699.406070795172,101.57038691244514,20976.29720770762,16000.0,12960.0,8,1,5
LSTM,2026,2025-04-20,39227.15925685409,308.649485623059,39535.808742477144,66002.88990904919,103.83102063350043,10037.267917232766,21640.569100613673,17528.860971497073,10,1,8
LSTM,2026,2025-04-21,38704.16906774418,1097.6964666425586,39801.865534386736,65130.17294710543,404.35501796053006,12910.636172763872,21615.691626151372,17508.71021718262,28,1,9
LSTM,2026,2025-04-22,38330.73992499574,1003.5401116652654,39334.280036661,64478.43947236115,314.8594941768222,8536.58600252859,21598.861301803765,17495.07765446105,27,1,14
LSTM,2026,2025-04-23,37999.94111244384,1235.8914524187855,39235.83256486263,63923.98092118469,468.9417829316012,8888.018635480097,21605.196589313276,17500.209237343748,30,1,13
LSTM,2026,2025-04-24,39310.35129679389,368.40070211240925,39678.7519989063,65728.44202931924,110.5060603324863,14627.653231077993,21690.463992493325,17569.275833919593,11,1,6
LSTM,2026,2025-04-25,15511.322812992235,242.96954253622084,15754.292355528456,30397.47029249574,68.18697374718806,25425.299616242923,16000.0,12959.999999999998,6,1,5
LSTM,2026,2025-04-26,15299.564613093076,324.8498574438423,15624.414470536918,30148.716477548827,91.25809501507456,27129.780939230564,16000.000000000004,12960.0,9,1,6
LSTM,2026,2025-04-27,37675.95492530912,545.076292123656,38221.03121743277,63703.02104685608,210.27839821495536,11234.800278573111,21605.41043770844,17500.382454543837,15,1,9
LSTM,2026,2025-04-28,37735.980211667484,5402.086205174217,43138.0664168417,63694.64010672862,1790.9281434258437,4759.97152393911,21598.049523940506,17494.420114391814,40,1,14
LSTM,2026,2025-04-29,37396.98858635522,589.5945633848098,37986.58314974003,63214.899120006696,130.5385816751775,11815.064449456404,21563.997555572696,17466.83802001389,15,1,11
LSTM,2026,2025-04-30,36989.5626473945,1395.2421583447403,38384.804805739244,62532.88065222559,464.0710642096217,10642.792825085748,21564.76030534813,17467.455847331985,29,1,15
