origin,grid_size,iteration,weekday,support_violation,own_cut_error,dual_max,dual_min,history_min_day,history_max_day
2025-07-01,9,1,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,102,179
2025-07-01,9,1,5,0.0,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,101,178
2025-07-01,9,1,4,0.0,0.0,-0.38231999099999997,-0.4743333444444444,100,177
2025-07-01,9,1,3,0.0,0.0,-0.38231999099999997,-0.47900001111111107,99,176
2025-07-01,9,1,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,98,175
2025-07-01,9,1,1,0.0,0.0,-0.38231999099999997,-0.47900001111111107,97,174
2025-07-01,9,1,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,103,173
2025-07-01,9,2,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,102,179
2025-07-01,9,2,5,0.0,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,101,178
2025-07-01,9,2,4,0.0,0.0,-0.38231999099999997,-0.4743333444444444,100,177
2025-07-01,9,2,3,0.0,0.0,-0.38231999099999997,-0.47900001111111107,99,176
2025-07-01,9,2,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,98,175
2025-07-01,9,2,1,0.0,0.0,-0.38231999099999997,-0.47900001111111107,97,174
2025-07-01,9,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,103,173
2025-08-01,9,1,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,130,207
2025-08-01,9,1,5,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,129,206
2025-08-01,9,1,4,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,128,205
2025-08-01,9,1,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,134,204
2025-08-01,9,1,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,133,210
2025-08-01,9,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,132,209
2025-08-01,9,1,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,131,208
2025-08-01,9,2,6,0.0,0.0,-0.38231999099999997,-0.47900001111111107,130,207
2025-08-01,9,2,5,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,129,206
2025-08-01,9,2,4,3.637978807091713e-12,3.637978807091713e-12,-0.38231999099999997,-0.4743333444444444,128,205
2025-08-01,9,2,3,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,134,204
2025-08-01,9,2,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,133,210
2025-08-01,9,2,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,132,209
2025-08-01,9,2,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,131,208
2025-09-01,9,1,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,165,235
2025-09-01,9,1,5,0.0,0.0,-0.382319991,-0.47433334444444447,164,241
2025-09-01,9,1,4,0.0,0.0,-0.38231999099999997,-0.47455556666666665,163,240
2025-09-01,9,1,3,1.4551915228366852e-11,7.275957614183426e-12,-0.38231999099999997,-0.47900001111111107,162,239
2025-09-01,9,1,2,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,161,238
2025-09-01,9,1,1,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,160,237
2025-09-01,9,1,0,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,159,236
2025-09-01,9,2,6,7.275957614183426e-12,0.0,-0.38231999099999997,-0.47900001111111107,165,235
