grid_size,month,weekday,soc,relative_future_cost
9,2,2,9600.0,-1705.8000400000237
9,2,2,9750.0,-1776.550041666691
9,2,2,9900.0,-1847.3000433333573
9,2,2,10050.0,-1918.0500450000236
9,2,2,10200.0,-1988.8000466666908
9,2,2,10350.0,-2054.5722240500154
9,2,2,10500.0,-2112.2037227000155
9,2,2,10650.0,-2169.8352213500157
9,2,2,10800.0,-2227.466720000016
9,2,1,1200.0,2292.35005333335
9,2,1,1350.0,2220.5000516666832
9,2,1,1500.0,2148.6500500000166
9,2,1,1650.0,2076.80004833335
9,2,1,1800.0,2004.9500466666836
9,2,1,1950.0,1933.100045000017
9,2,1,2100.0,1861.2500433333503
9,2,1,2250.0,1789.4000416666836
9,2,1,2400.0,1717.550040000017
9,2,1,2550.0,1645.7000383333502
9,2,1,2700.0,1573.933370000012
9,2,1,2850.0,1502.250035000012
9,2,1,3000.0,1430.5667000000121
9,2,1,3150.0,1358.883365000012
9,2,1,3300.0,1287.200030000012
9,2,1,3450.0,1215.516695000012
9,2,1,3600.0,1143.8333600000121
9,2,1,3750.0,1072.1500250000122
9,2,1,3900.0,1000.466690000012
9,2,1,4050.0,928.7833550000121
9,2,1,4200.0,857.2333533333394
9,2,1,4350.0,785.6833516666725
9,2,1,4500.0,714.133350000006
9,2,1,4650.0,642.5833483333395
9,2,1,4800.0,571.0333466666725
9,2,1,4950.0,499.483345000006
9,2,1,5100.0,427.9333433333395
9,2,1,5250.0,356.5833416666651
9,2,1,5400.0,285.2666733333317
9,2,1,5550.0,213.95000499999833
9,2,1,5700.0,142.63333666666495
9,2,1,5850.0,71.31666833333156
9,2,1,6000.0,-1.3642420526593924e-12
9,2,1,6150.0,-71.31666833333475
9,2,1,6300.0,-142.63333666666813
9,2,1,6450.0,-213.9000050000027
9,2,1,6600.0,-285.0833400000024
9,2,1,6750.0,-356.2666750000026
9,2,1,6900.0,-427.45001000000275
9,2,1,7050.0,-498.63334500000246
9,2,1,7200.0,-569.8166800000026
9,2,1,7350.0,-641.0000150000023
9,2,1,7500.0,-712.1833500000025
9,2,1,7650.0,-783.3666850000027
9,2,1,7800.0,-854.5500200000024
9,2,1,7950.0,-925.7000216666729
9,2,1,8100.0,-996.8500233333398
9,2,1,8250.0,-1068.0000250000062
9,2,1,8400.0,-1139.150026666673
9,2,1,8550.0,-1210.3000283333395
9,2,1,8700.0,-1281.3000300000022
9,2,1,8850.0,-1352.0500316666685
9,2,1,9000.0,-1422.8000333333357
9,2,1,9150.0,-1493.550035000002
9,2,1,9300.0,-1564.3000366666683
9,2,1,9450.0,-1635.0500383333356
9,2,1,9600.0,-1705.800040000002
9,2,1,9750.0,-1776.5500416666691
9,2,1,9900.0,-1847.3000433333355
9,2,1,10050.0,-1918.0500450000018
9,2,1,10200.0,-1988.800046666669
9,2,1,10350.0,-2054.450724050011
9,2,1,10500.0,-2112.1227227000113
9,2,1,10650.0,-2169.794721350011
9,2,1,10800.0,-2227.4667200000113
9,2,0,1200.0,2292.350053333357
9,2,0,1350.0,2220.5000516666905
9,2,0,1500.0,2148.650050000024
9,2,0,1650.0,2076.800048333357
9,2,0,1800.0,2004.950046666691
9,2,0,1950.0,1933.1000450000242
9,2,0,2100.0,1861.2500433333576
9,2,0,2250.0,1789.4000416666909
9,2,0,2400.0,1717.5500400000242
9,2,0,2550.0,1645.7000383333575
9,2,0,2700.0,1573.9333700000047
9,2,0,2850.0,1502.2500350000048
9,2,0,3000.0,1430.5667000000049
9,2,0,3150.0,1358.8833650000047
9,2,0,3300.0,1287.2000300000047
9,2,0,3450.0,1215.5166950000048
9,2,0,3600.0,1143.8333600000049
9,2,0,3750.0,1072.150025000005
9,2,0,3900.0,1000.4666900000047
9,2,0,4050.0,928.7833550000048
9,2,0,4200.0,857.1000200000049
9,2,0,4350.0,785.4166850000047
9,2,0,4500.0,713.8666833333436
