day,date,beta,budget_index,risk_reduction_fraction,risk_budget,scenario_expected,scenario_cvar,risk_multiplier,effective_tail_n,n_scenarios,max_history_day,solve_seconds,planned_cost,emergency_cost,total_cost,adjusted_cost,planned_kwh,emergency_kwh,spill_kwh,emergency_slots,emergency_day,events,initial_soc,terminal_soc,balance_residual,soc_residual
188,2025-07-08,0.95,0,0.0,90939.79531348936,68931.98501954641,90939.79531348936,0.0,1.8666666666666687,42,187,0.10388832700004969,64248.42715518287,0.0,64248.42715518287,63212.35556359892,99730.36079152388,0.0,17946.411110187797,0,0,0,6580.9370264824,9092.287504332005,1.1368683772161603e-13,9.094947017729282e-13
188,2025-07-08,0.95,1,0.25,87301.36236221585,69112.14355047153,87301.36237221584,0.11469657640272192,1.8666666666666687,42,187,0.2005854729998191,65684.13838941141,0.0,65684.13838941141,64527.90126512449,101640.32389928815,0.0,19647.107975708135,0,0,0,6580.9370264824,9383.558658203996,2.2737367544323206e-13,9.094947017729282e-13
188,2025-07-08,0.95,2,0.5,83662.92941094235,69755.55802578235,83662.92942094237,0.24289772727272738,1.8666666666666687,42,187,0.22870578500010197,67391.9375735626,0.0,67391.9375735626,66043.83134192278,103801.61232457167,0.0,21462.148157155523,0,0,0,6580.9370264824,9848.633251841493,1.7053025658242404e-13,9.094947017729282e-13
188,2025-07-08,0.95,3,0.75,80024.49645966885,71044.03972913702,80024.49646966887,0.47380275399263583,1.8666666666666687,42,187,0.2651582860000872,69601.18237370333,0.0,69601.18237370333,68061.85103002166,106694.33718501088,0.0,24021.369908452965,0,0,0,6580.9370264824,10312.146854959392,1.1368683772161603e-13,9.094947017729282e-13
188,2025-07-08,0.95,4,1.0,76386.06350839534,75410.14345479186,76386.06351839537,52.28150406504099,1.8666666666666687,42,187,0.32050322300005973,75084.67000296937,0.0,75084.67000296937,73357.73897808716,114335.57245210801,0.0,31370.98165877937,0,0,0,6580.9370264824,10766.872718359586,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.9,0,0.0,78101.00023107309,61911.53510210058,78101.00023107309,0.0,3.7333333333333334,42,188,0.10778701000003821,57257.6513561431,0.0,57257.6513561431,57707.54414035172,88665.38405181286,0.0,12421.758386381782,0,0,0,9042.7212819236,7952.218977081803,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.9,1,0.25,75695.55313226396,62036.99574284232,75695.55314226396,0.12559241706161162,3.7333333333333334,42,188,0.18578981499990732,58494.743505100356,0.0,58494.743505100356,58829.81439728249,90377.30881622185,0.0,13905.340861917595,0,0,0,9042.7212819236,8230.537594975256,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.9,2,0.5,73290.10603345482,62529.51712950775,73290.10604345481,0.2930634369648748,3.7333333333333334,42,188,0.2211480969999684,59965.78396505526,0.0,59965.78396505526,60136.9036924045,92387.32110861686,0.0,15520.254826023713,0,0,0,9042.7212819236,8627.941441863508,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.9,3,0.75,70884.6589346457,63519.28968442406,70884.65894464571,0.5506643878315807,3.7333333333333334,42,188,0.2500430330001109,61805.99343755028,0.0,61805.99343755028,61811.64211991668,94853.35249505693,0.0,17742.745090820034,0,0,0,9042.7212819236,9029.029350521056,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.9,4,1.0,68479.21183583657,66395.14114939127,68479.21184583657,27.98686477174863,3.7333333333333334,42,188,0.3025958789999095,65862.68108990381,0.0,65862.68108990381,65649.79015057722,100302.37511266104,0.0,22774.710692195767,0,0,0,9042.7212819236,9558.751029819985,1.1368683772161603e-13,8.526512829121202e-13
189,2025-07-09,0.95,0,0.0,83883.3246374741,61911.53510210058,83883.3246374741,0.0,1.8666666666666687,42,188,0.10778701000003821,57257.6513561431,0.0,57257.6513561431,57707.54414035172,88665.38405181286,0.0,12421.758386381782,0,0,0,9042.7212819236,7952.218977081803,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.95,1,0.25,80243.38001654056,62083.000472737265,80243.38002654059,0.11172863991790394,1.8666666666666687,42,188,0.18666952299986406,58688.28676076437,0.0,58688.28676076437,59018.93091453837,90635.05558280328,0.0,14153.24026868205,0,0,0,9042.7212819236,8241.267636901788,1.1368683772161603e-13,9.094947017729282e-13
189,2025-07-09,0.95,2,0.5,76603.43539560701,62718.9589333147,76603.43540560703,0.24289772727272732,1.8666666666666687,42,188,0.2176261440001781,60357.6478103185,0.0,60357.6478103185,60498.87713441421,92839.87261457132,0.0,15928.201484624897,0,0,0,9042.7212819236,8700.39326768676,1.1368683772161603e-13,9.094947017729282e-13
