slope,weekday,fold,train_window,val_block,samples,mae_kw,rmse_kw
3.2000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,150.8215954848,189.0759618827
3.2000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,130.2884250197,160.7704291266
3.2000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,123.6409053066,153.8280514926
3.2000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,164.5591272743,207.1233109931
3.2000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,140.7268630025,174.0491344684
3.2000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,131.8203516210,164.3055694248
3.2000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,193.2502373328,248.0177617782
3.2000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,162.6799179548,205.4918341375
3.2000000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,155.2153788170,193.5155705377
3.2000000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,244.3169322674,322.3985391574
3.2000000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,202.2729595329,265.0233535625
3.2000000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,202.3896896528,255.4363919953
3.2000000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,328.1744688912,436.3129791903
3.2000000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,266.2892295414,360.0417579896
3.2000000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,280.5825821749,360.5840821243
1000000.0000000000,0.0062500000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,142.5007811195,179.1601488922
1000000.0000000000,0.0062500000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,121.1485010756,150.7617853841
1000000.0000000000,0.0062500000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,119.2679887761,147.5120792135
1000000.0000000000,0.0125000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,143.5970367373,180.4875116105
1000000.0000000000,0.0125000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,122.2095018874,151.9241033216
1000000.0000000000,0.0125000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,119.8388536622,148.1640014925
1000000.0000000000,0.0250000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,147.9154917080,185.9689267786
1000000.0000000000,0.0250000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,125.6435939975,155.8570833254
1000000.0000000000,0.0250000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,122.0892661247,151.0051876940
1000000.0000000000,0.0500000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,161.1301303472,202.5329282383
1000000.0000000000,0.0500000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,134.7084970209,167.5360600339
1000000.0000000000,0.0500000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,129.7168096169,160.8431377557
1000000.0000000000,0.1000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,188.4230188904,240.7424009542
1000000.0000000000,0.1000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,154.5393085190,195.8132879481
1000000.0000000000,0.1000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,150.8630963258,187.6967055566
1000000.0000000000,0.2000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,238.5476986188,311.4392422427
1000000.0000000000,0.2000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,191.0393941004,250.4361619191
1000000.0000000000,0.2000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,192.7841149556,244.1829157829
1000000.0000000000,0.4000000000,1,2025-01-01/2025-01-07,2025-01-08/2025-01-15,1152,322.6679180986,421.0747261155
1000000.0000000000,0.4000000000,2,2025-01-01/2025-01-15,2025-01-16/2025-01-23,1152,252.7431071558,339.2463389839
1000000.0000000000,0.4000000000,3,2025-01-01/2025-01-23,2025-01-24/2025-01-31,1152,262.5874246183,339.9973219926
