alpha0,alpha_update,total_cost,adjusted_cost,emergency_cost,emergency_kwh,up_kwh,down_kwh,plan_cost,up_cost,down_net_cost,plan_kwh,final_kwh,daily_var95,daily_cvar95,final_soc
0.6500000000,0.6500000000,853117.9505780835,853238.0170802573,1948.6849329209,358.3205972834,21310.6675582943,26383.5497780272,834434.9149845422,25221.0501074281,-8486.6994468077,1356167.2665480748,1351094.3843283418,63000.9462021138,63556.1378904392,8957.0692599153
0.6500000000,0.7000000000,858699.2872405336,858774.4925002991,1078.4522768470,193.0203304043,26668.0061784378,25015.2661737808,833733.9948507352,31765.5908652469,-7878.7507522955,1354517.2008259422,1356169.9408305991,63443.8883329542,64108.2307208582,9065.8091418631
0.6500000000,0.7500000000,865959.4543298057,865990.6615893272,795.8761837432,139.3537446068,33047.4472299423,24321.7190816853,833194.8210636837,39516.8419288572,-7548.0848464786,1353247.9474357693,1361973.6755840264,63953.0167830298,64769.7157963764,9172.4565973430
0.6500000000,0.8000000000,876156.1480563032,876135.8129582372,508.9682499190,89.5334608398,42183.6221918229,24422.7169901266,832359.8054787634,50700.7578539159,-7413.3835262952,1351282.1678259950,1369043.0730276916,64722.3125570633,65852.7563881045,9297.3909410774
0.7000000000,0.5000000000,856703.1667992119,856937.3187459654,13314.8917291617,2446.3886477108,7654.9099905558,46742.3378132303,849316.3763830088,10259.0875142866,-16187.1888272450,1379156.0988385587,1340068.6710158843,63338.3937387787,63390.6225259146,8680.5357287499
0.7000000000,0.5500000000,853350.3952749962,853568.4384355699,7689.3366005331,1412.7626649220,9060.6079848706,42840.3508641962,848771.4703167835,11626.9265640106,-14737.3382063312,1377874.4935181630,1344094.7506388375,62912.0068682659,63141.6235253399,8719.5820728425
0.7000000000,0.6000000000,852572.2365090225,852746.9734263049,3597.9944649540,659.3729544318,11249.5038494835,38603.1442571945,848023.0468300275,14025.1292017489,-13073.9339877079,1376113.3999750882,1348759.7595673772,62797.8710637108,63055.5059801452,8824.5527675969
0.7000000000,0.6500000000,854730.4883557425,854845.7163049782,1943.7703158873,357.1823000144,14025.1811357607,34640.9241447695,847165.1781883079,17128.9868345376,-11507.4469829903,1374094.4268100271,1353478.6838010184,62838.5452509179,63326.9073340297,8968.7975056575
0.7000000000,0.7000000000,859362.2373952657,859433.0142673744,1045.0238099066,188.0341598615,18386.4584168918,31666.8103159545,846394.9309731319,22172.8823987572,-10250.5997865299,1372281.1398211517,1359000.7879220890,63236.4941024142,63844.1432609439,9076.5431814302
0.7000000000,0.7500000000,865790.1052998879,865816.2332066186,755.0352563179,132.1904480987,23854.6767662613,30276.8090970998,845908.1090087641,28733.4152121718,-9606.4541773659,1371135.1594220777,1364713.0270912393,63718.8456159099,64504.6628162185,9184.7685216946
0.7000000000,0.8000000000,875266.5872673633,875241.3607957740,505.4347493045,88.7567819488,31879.1777811113,29309.4213054646,845049.2858544914,38819.8400232895,-9107.9733597222,1369113.2729971856,1371683.0294728323,64464.1248943603,65603.6678837099,9309.2472194807
0.7500000000,0.5000000000,861778.9205425634,862005.9538132285,13569.4392101399,2494.9345383202,4369.5666632392,59764.9099041739,863102.4053375574,6079.9371144449,-20972.8611195787,1398656.9814784203,1343261.6382374854,63411.5032283916,63863.4320254839,8697.7908014118
0.7500000000,0.5500000000,857983.1027390849,858194.0272235705,7740.1087728056,1425.4186328503,5344.3212463988,55691.7829722748,862584.7811842437,7132.5627985148,-19474.3500164795,1397439.3525991328,1347091.8908732568,63128.1116243033,63600.1180530374,8736.8371455044
0.7500000000,0.6000000000,856674.8621332238,856845.2857213140,3579.3910694930,657.2673331956,7015.4739518639,51132.2982242165,861810.4088796248,8948.0318216146,-17662.9696375086,1395616.9091245467,1351500.0848521942,62933.8969693206,63157.6396092417,8835.0079151134
0.7500000000,0.6500000000,858301.2599628249,858409.3692359723,1904.0599322158,353.3220835011,9149.6037009962,46533.9144177021,860954.8166506292,11256.1158901629,-15813.7325101831,1393603.0677811815,1356218.7570644754,62875.8862869112,63129.0147482972,8986.0525783194
0.7500000000,0.7000000000,861979.7329574863,862041.9240350756,1027.2847469151,188.0341598615,12176.0812185978,42095.2328113972,860184.4087659494,14766.6456016650,-13998.6061570430,1391789.4124908797,1361870.2608980802,63250.1458474624,63599.2223323849,9097.3544258887
0.7500000000,0.7500000000,867367.3705228381,867388.6687791294,690.8724361413,121.2064850452,16501.1718573075,39008.3437487016,859600.3719474800,19768.1858819317,-12692.0597427149,1390414.5537660073,1367907.3818746132,63668.9210688046,64264.3533023316,9196.4751885289
0.7500000000,0.8000000000,875591.9254042883,875560.8378414132,505.4347493045,88.7567819488,22845.7410798629,36543.2284424531,858773.5574959581,27873.4357452640,-11560.5025862382,1388467.9794087352,1374770.4920461450,64301.2830666954,65356.4156825435,9323.4540122554
0.8000000000,0.5000000000,868896.4941835259,869112.0614776282,13800.7787916946,2530.1357688289,1558.0602205321,76960.0964907500,879968.6113000261,2506.8596382378,-27379.7555464327,1422611.4053589632,1347209.3690887454,63968.1184550154,64481.5909720034,8725.5833651243
0.8000000000,0.5500000000,864334.9702104095,864534.4287183324,7708.9494964651,1413.6687478340,1736.5947187033,71843.6549297927,879486.7807167228,2643.3489939183,-25504.1089966967,1421477.7448190637,1351370.6846079740,63692.9536799360,64199.4532089769,8764.6297092169
0.8000000000,0.6000000000,862472.0821554133,862631.0397669409,3482.8687747488,637.8785916298,2570.7761247031,66491.2382968537,878722.5412055036,3680.2043581607,-23413.5321829998,1419678.9585569284,1355758.4963847778,63281.3255933764,63754.9467169099,8862.8004788259
0.8000000000,0.6500000000,863699.3763885131,863796.0196850980,1868.4182401819,348.2821078404,3946.7798693891,61441.0405836521,877835.1603539721,5359.3341359130,-21363.5363415539,1417590.0134781543,1360095.7527638914,63254.4495075941,63354.5804759180,9013.8451420319
